,238U/206Pb,238U/206Pb 2SE(int),238U/206Pb 2SE(prop),206Pb/238U,206Pb/238U 2SE(int),206Pb/238U 2SE(prop),207Pb/235U,207Pb/235U 2SE(int),207Pb/235U 2SE(prop),207Pb/206Pb,207Pb/206Pb 2SE(int),207Pb/206Pb 2SE(prop),Err Corr 7/6 v 8/6,Err  Corr 6/8 v 7/5
91500-3,6.722871696,0.063461765,0.220133573,0.149097814,0.001367064,0.004742017,1.532925192,0.03110813,0.05521928,0.074715827,0.001556641,0.001563229,0.282244888,0.181622071
91500-30,6.718041895,0.065443304,0.216713736,0.149065834,0.001439752,0.004767701,1.545233808,0.03664907,0.058810999,0.075327547,0.001800761,0.001806552,0.215530481,0.212675034
91500-31,6.513001823,0.075184746,0.212848824,0.154394834,0.001769733,0.005010134,1.586251088,0.034489174,0.058452396,0.075231352,0.001802752,0.001808522,0.335393452,0.119927169
91500-32,6.553811518,0.069977299,0.208625357,0.153359733,0.001656282,0.004937922,1.595938088,0.036365239,0.059789398,0.075583053,0.001680974,0.001687218,0.113304009,0.294499914
91500-35,6.972057017,0.071100522,0.22202219,0.143960007,0.001480432,0.004622875,1.491789038,0.029930309,0.053525064,0.075449215,0.001519707,0.001526587,0.213993324,0.289218337
91500-36,6.829255663,0.066318669,0.219960838,0.146887678,0.001412052,0.004683389,1.540576556,0.029659149,0.054582953,0.07609509,0.001408199,0.001415748,0.154561117,0.337676121
91500-4,6.740004718,0.062255362,0.210455513,0.148732481,0.001402908,0.004742558,1.539188246,0.027856919,0.053613895,0.075239307,0.001363456,0.001371078,0.236441288,0.25732993
91500-5,6.75536926,0.059077972,0.213129778,0.148433572,0.001304012,0.004704355,1.527250297,0.027619657,0.053185939,0.074695485,0.001278325,0.001286334,0.110735005,0.36855136
91500-6,6.827602453,0.062122385,0.214276495,0.146908908,0.001354697,0.004672708,1.531281877,0.02651205,0.052719642,0.075589675,0.001251898,0.001260272,0.210249247,0.317477352
91500-7,6.831579389,0.051444166,0.217096369,0.146595403,0.001089036,0.004595772,1.485991123,0.025547082,0.051072163,0.073453353,0.001246884,0.001254825,0.217142625,0.218666175
91500-8,6.848401351,0.05161084,0.215359029,0.146237169,0.001099489,0.004587891,1.521983943,0.023563833,0.051056893,0.075530149,0.001115088,0.001124467,0.118046895,0.364065869
91500-9,6.524334205,0.065384684,0.208550005,0.154019527,0.001544765,0.00492716,1.572707827,0.035546015,0.05875903,0.07398964,0.001715002,0.001720868,0.26964564,0.157279436
Z_91500 Day 2,,,,,,,,,,,,,,
91500-1,6.525346591,0.050260156,0.224889488,0.153484058,0.001175906,0.005261601,1.575605348,0.023442466,0.056188621,0.074943836,0.000975325,0.000992602,0.057953445,0.447805667
91500-10,6.763181674,0.076508564,0.240165662,0.148706875,0.001730208,0.005242526,1.544848249,0.027341627,0.056195036,0.075506607,0.001051831,0.001112049,0.218135754,0.509452518
91500-11,6.896809881,0.070426566,0.241710304,0.144951802,0.001649819,0.005129443,1.49260843,0.024719886,0.056490389,0.07484087,0.001030395,0.001336381,0.219466753,0.44069975
91500-12,6.993746991,0.061222842,0.253269257,0.143145615,0.001543545,0.005141957,1.471946379,0.025627064,0.055616343,0.07510583,0.001066072,0.001393548,0.321313858,0.415014508
91500-13,6.995361056,0.062070344,0.246657148,0.143215484,0.001540361,0.00505977,1.477016105,0.024878746,0.056039047,0.074363902,0.001051398,0.001291083,0.104972034,0.518519582
91500-14,7.094430327,0.069168178,0.25291701,0.14125818,0.001570361,0.004989099,1.474326042,0.023703556,0.057343745,0.074883264,0.001019394,0.00135257,0.071738418,0.493518646
91500-15,7.041651134,0.069834654,0.250167434,0.14273278,0.001504782,0.005069261,1.46257522,0.027635425,0.055129796,0.075070729,0.001228742,0.001376659,0.248400221,0.416018516
91500-16,7.021442057,0.070047565,0.254466286,0.142651461,0.001651778,0.005060031,1.472299263,0.028143836,0.056705244,0.075469968,0.001138731,0.001495506,0.23689706,0.424800074
91500-17,6.60058171,0.070437761,0.225743953,0.152016037,0.00165686,0.005288298,1.561279427,0.024411295,0.056327938,0.075199376,0.000957161,0.001046873,0.192688039,0.493572241
91500-18,6.626121329,0.074365015,0.239645056,0.151617447,0.001715919,0.005373205,1.568765401,0.028349467,0.059584628,0.075231053,0.001185244,0.001294762,0.166825497,0.505890608
91500-19,6.647988785,0.0802223,0.237137175,0.15131109,0.001751156,0.005383561,1.57799489,0.025541632,0.058050741,0.075791932,0.001096422,0.001228502,0.368168081,0.417768421
91500-2,6.587870921,0.081388808,0.236103511,0.152500631,0.001727189,0.005339377,1.571221333,0.029217913,0.057922058,0.075467794,0.001323635,0.001068092,0.074201165,0.568863222
91500-20,6.503029486,0.096602243,0.229300829,0.15399102,0.001961251,0.005366922,1.571065085,0.028414232,0.059921905,0.074925295,0.001381242,0.001351396,0.223338823,0.402002419
91500-21,6.483825121,0.08634465,0.232083753,0.154477926,0.00177122,0.005434606,1.57004165,0.0294345,0.058457204,0.07465238,0.001278053,0.001263379,0.159612247,0.539063398
91500-22,6.687808697,0.08809142,0.235882691,0.150618534,0.001737712,0.005323853,1.57058861,0.032006473,0.059661193,0.075047423,0.001339964,0.001412161,0.203811308,0.446482323
91500-23,6.767697504,0.090947276,0.238731405,0.149120068,0.001842908,0.005268708,1.573225483,0.028280593,0.05904032,0.075740253,0.001364212,0.001386748,0.202782865,0.474980218
91500-24,6.632060167,0.092221487,0.233609959,0.151060005,0.001833813,0.005334807,1.546671312,0.030749173,0.057800907,0.074987367,0.001483934,0.001329467,0.241306099,0.415186745
91500-25,6.665922735,0.087525681,0.243464832,0.149773172,0.001962458,0.005226485,1.539931856,0.031223915,0.058600517,0.075201125,0.001281464,0.001419582,0.21187362,0.372356327
91500-26,7.055598121,0.089469746,0.261405369,0.142835043,0.00203117,0.005260962,1.481178156,0.027797628,0.056560681,0.074021553,0.001214267,0.001400154,0.287476208,0.464300822
91500-27,7.231962348,0.080680426,0.265055,0.139571775,0.001888373,0.005116967,1.489937068,0.032027697,0.057591886,0.07585244,0.001338764,0.001386335,0.237308434,0.489635919
91500-28,6.629884472,0.086030995,0.239569361,0.150654938,0.002014551,0.005379336,1.55725938,0.029256485,0.058427122,0.075416003,0.001249957,0.001383661,0.306408936,0.463940871
91500-29,6.552110868,0.0873727,0.235734313,0.151961161,0.001971995,0.005338052,1.544417612,0.031684431,0.057579,0.074237312,0.001400038,0.001244831,0.21361893,0.463445144
91500-3,6.298178523,0.088995253,0.209365038,0.159338622,0.00196409,0.005278493,1.597069054,0.030405121,0.057269641,0.074332314,0.001374171,0.001081644,0.194044732,0.423313724
91500-30,6.768939624,0.084905104,0.23247237,0.147976469,0.001938926,0.005059744,1.521384436,0.028949922,0.058776531,0.075307829,0.001316603,0.001459599,0.155474192,0.346269671
91500-31,6.76191288,0.079829333,0.237149689,0.148343305,0.001713705,0.005165612,1.537940164,0.030942309,0.058985581,0.076038943,0.001407473,0.001363102,0.087402879,0.47807553
91500-32,6.771764714,0.10947245,0.23569253,0.148205383,0.002203208,0.005133664,1.540532335,0.02978021,0.057837295,0.07614795,0.00138826,0.001474467,0.212237459,0.371298968
91500-33,6.645297398,0.110348113,0.224328796,0.150757317,0.002130304,0.005219639,1.537225812,0.031208657,0.057270804,0.074993911,0.001373716,0.001376016,0.183587604,0.428446498
91500-34,6.996917629,0.097161228,0.250282596,0.144707771,0.002181677,0.005081653,1.506745958,0.030007041,0.058052724,0.074870082,0.001371164,0.00140049,0.144543628,0.389104661
91500-35,7.019101694,0.087410803,0.255715451,0.144998755,0.001979362,0.005111744,1.494990882,0.029040228,0.056391098,0.074457787,0.001231358,0.001340773,0.183905396,0.469420292
91500-36,6.769068987,0.072600675,0.246698575,0.147456256,0.001580148,0.005096659,1.494178318,0.032433581,0.056286522,0.073779429,0.001447791,0.001329765,0.245315441,0.329955811
91500-37,6.806321554,0.084560613,0.242268927,0.147005682,0.001841906,0.005125564,1.510287747,0.032006204,0.057613468,0.075379014,0.001350203,0.001362685,0.164507859,0.459721784
91500-38,6.788129271,0.081282441,0.236513235,0.147784145,0.001770428,0.005113318,1.518220824,0.029842078,0.056966687,0.074553912,0.001462516,0.001442371,0.277977642,0.310343879
91500-39,6.761198333,0.075437662,0.232940158,0.148333733,0.001755269,0.005199471,1.490513046,0.028802178,0.05644899,0.072660661,0.001363589,0.001293199,0.159642218,0.446564517
91500-4,6.262424324,0.084787336,0.209385132,0.160628733,0.001721493,0.005196182,1.631773899,0.031633117,0.057955547,0.076099696,0.001388323,0.001067939,0.180444,0.47301471
91500-40,6.792783198,0.090933115,0.235345975,0.147636921,0.00181775,0.005192059,1.541087765,0.029127557,0.057520481,0.076019604,0.0013282,0.001374948,0.284326987,0.39273768
91500-41,6.807250137,0.080799504,0.242673662,0.147239715,0.001669274,0.005243529,1.490928519,0.028898855,0.055335191,0.073970784,0.001317317,0.001439813,0.395534924,0.367127885
91500-42,6.734453113,0.084946823,0.233797195,0.148744834,0.001797178,0.005191096,1.525123999,0.030661996,0.057934108,0.073996003,0.001350006,0.001344101,0.190653161,0.45529969
91500-43,6.695086873,0.079351326,0.234115545,0.149639866,0.001715543,0.005256335,1.542328152,0.029306832,0.057689281,0.07450473,0.00143066,0.001263837,0.239465848,0.417164685
91500-44,6.969096957,0.084411417,0.249625933,0.143267163,0.001884152,0.005089713,1.462722981,0.029801318,0.053983691,0.0751971,0.001280783,0.001456889,0.368469835,0.350196986
91500-45,6.920061243,0.086714286,0.248520499,0.144047442,0.001913038,0.005165458,1.492730837,0.029045966,0.059465262,0.076255338,0.001362167,0.001758616,0.295328471,0.342977393
91500-46,6.768506673,0.095591532,0.239928887,0.147973435,0.002065477,0.005132468,1.565259087,0.027450382,0.060068236,0.076394667,0.001428265,0.001624161,0.292222723,0.249084131
91500-47,6.719627952,0.086274656,0.232158986,0.149193595,0.001915592,0.005226118,1.545228081,0.031032266,0.059839376,0.074317024,0.001331715,0.001472441,0.130001779,0.443236887
91500-48,6.702532729,0.090134688,0.236608636,0.148536586,0.002023694,0.00519862,1.551518571,0.029860203,0.060806876,0.075092643,0.001250473,0.001637566,0.22591196,0.350685464
91500-49,6.628435732,0.094974659,0.231606713,0.151276323,0.001936473,0.005331378,1.562062274,0.025921983,0.060276413,0.074744546,0.001445094,0.001514529,0.301343406,0.309922053
91500-5,6.67015621,0.099630409,0.23079125,0.150075872,0.002070802,0.005239774,1.595218474,0.034735382,0.056746114,0.075992718,0.00174858,0.001036398,0.218775762,0.454326685
91500-50,6.729598142,0.07956648,0.240970018,0.149710201,0.001702056,0.005266615,1.537480436,0.032730173,0.061911007,0.074711523,0.001613248,0.001774563,0.214941832,0.349631278
91500-51,6.813882874,0.083090374,0.238396587,0.146412824,0.001870443,0.005165431,1.511353226,0.033270846,0.059903787,0.074379491,0.001461044,0.001690723,0.283487917,0.290106892
91500-52,7.19514207,0.086608471,0.265789555,0.139491731,0.001993649,0.004959146,1.424499784,0.033126966,0.057389825,0.073553885,0.001503323,0.001639349,0.245318024,0.354815215
91500-53,7.137309378,0.088354283,0.25332902,0.140276587,0.001931062,0.004955872,1.433354849,0.037062407,0.056317493,0.074120892,0.001765018,0.001572837,0.16169593,0.464291044
91500-54,7.545402709,0.091700259,0.283348414,0.134782678,0.001986905,0.004929319,1.391401721,0.03519414,0.055601316,0.074816857,0.00168079,0.001748048,0.250672157,0.25941973
91500-55,8.024852529,0.086724933,0.308201196,0.128703882,0.001905467,0.004741112,1.342430646,0.034821682,0.053885356,0.07515221,0.001627111,0.00155509,0.117784914,0.384469078
91500-6,6.730290471,0.101482928,0.240387225,0.148941572,0.001893486,0.005179811,1.55216286,0.034374613,0.057239612,0.074095823,0.00162933,0.001242192,0.174132372,0.399268526
91500-7,6.525596619,0.096000741,0.222845804,0.15349706,0.001878061,0.005254884,1.574401344,0.032282958,0.057871316,0.074594375,0.001562229,0.001153425,0.035236476,0.549454588
91500-8,6.466735567,0.090638036,0.225556962,0.154825494,0.0015768,0.005305625,1.588503849,0.03200495,0.056544839,0.074334098,0.001738329,0.000974476,0.177636553,0.528619619
91500-9,6.657958796,0.09714872,0.230040863,0.150684219,0.001494455,0.005308026,1.552679122,0.030747622,0.057832025,0.074918234,0.001544059,0.001199491,0.101183763,0.5289793
RAK-17,,,,,,,,,,,,,,
RAK-1,23.76103822,0.258829988,0.760062561,0.042270678,0.00046636,0.00136948,0.304591146,0.005432019,0.010566746,0.052095619,0.00083288,0.000838857,0.136544953,0.456702361
RAK-10,22.87621411,0.261238704,0.746847567,0.043905114,0.000499076,0.001426794,0.316446546,0.006131044,0.01123551,0.052458852,0.000989209,0.000994317,0.238225606,0.327174874
RAK-11,22.85800066,0.253705804,0.741526413,0.043954999,0.000488798,0.001428648,0.314099694,0.006564942,0.011428538,0.052193191,0.001062783,0.001067491,0.158085113,0.369630635
RAK-12,24.04746819,0.287895661,0.778160089,0.041816336,0.000506833,0.001369932,0.301224916,0.006153394,0.010869044,0.052319929,0.000970749,0.000975926,0.134969363,0.444706867
RAK-13,22.70651039,0.259330417,0.737084336,0.04425661,0.000505767,0.00143752,0.3186007,0.007008909,0.01178905,0.052053866,0.000912173,0.000917625,0.047510025,0.484271828
RAK-14,22.45479449,0.278107409,0.728817201,0.044846783,0.000563175,0.001475874,0.320117825,0.006865356,0.011739937,0.052016642,0.001047021,0.001051768,0.186156484,0.399286298
RAK-15,22.86382878,0.263344241,0.744250504,0.043977975,0.000510562,0.001442925,0.323704856,0.006872985,0.011852041,0.053465464,0.001067256,0.001072175,0.1619662,0.373440525
RAK-16,23.04073603,0.201255451,0.734373979,0.043510932,0.000375927,0.001371744,0.319568065,0.00639937,0.011456484,0.053341162,0.001079832,0.001084671,0.239983325,0.172990294
RAK-17,23.05362649,0.241498626,0.739270017,0.04356379,0.000459258,0.001405871,0.310024238,0.006971423,0.011567062,0.051720032,0.001116097,0.0011205,0.133973792,0.337467724
RAK-18,22.45942306,0.209440819,0.705495854,0.044670083,0.000420979,0.001418056,0.318017912,0.006329797,0.011378863,0.05185094,0.001038207,0.001042963,0.193537388,0.271949822
RAK-2,23.51069608,0.244002266,0.749632674,0.042737115,0.000447334,0.001374317,0.310754509,0.005388522,0.01069748,0.052610506,0.000812468,0.000818716,0.059170762,0.533831218
RAK-3,23.02214574,0.233199605,0.730193124,0.043622159,0.000447866,0.001402356,0.323517938,0.005364817,0.011023017,0.054137125,0.001043861,0.001049015,0.476983913,0.068134463
RAK-4,23.42919843,0.248667669,0.758246719,0.042866526,0.000453462,0.001382714,0.317497672,0.005579734,0.010974392,0.053469936,0.000868924,0.000874961,0.197130695,0.396436118
RAK-5,23.25745943,0.258949835,0.760397148,0.043206044,0.000478679,0.001405626,0.311693024,0.006381897,0.011266798,0.052372948,0.000980096,0.000985234,0.082951854,0.432844798
RAK-6,22.43728472,0.209300049,0.701394807,0.044704017,0.000423757,0.001420071,0.316495299,0.006048696,0.011187784,0.051160222,0.000965263,0.000970241,0.249938808,0.246424744
RAK-7,23.08582653,0.268458927,0.761065528,0.043499888,0.000500978,0.001420243,0.308218767,0.006907217,0.011487649,0.051450715,0.001077285,0.001081799,0.111557377,0.404877364
RAK-8,22.53031244,0.236913695,0.7330241,0.044563299,0.000463439,0.001433905,0.320394236,0.006716992,0.011663465,0.052386155,0.001111088,0.001115626,0.275353554,0.233054394
RAK-9,23.21310258,0.285760656,0.754361529,0.043345339,0.000540452,0.001426704,0.313528081,0.00693608,0.011626121,0.052597002,0.001075712,0.001080436,0.159265747,0.412649428
G_NIST610,,,,,,,,,,,,,,
NIST 610-1,5.11670626,0.053847567,0.16125708,0.196450593,0.002117538,0.006341382,24.6032272,0.265267686,0.777674728,0.908594166,0.002997747,0.003467692,0.062345451,0.94924165
NIST 610-10,4.965728044,0.050723,0.154386427,0.202053785,0.002139835,0.00651305,25.19562376,0.25811561,0.792169265,0.905507104,0.003153854,0.003600779,0.179810289,0.923138518
NIST 610-11,5.050014836,0.04596587,0.156751023,0.19862691,0.001864106,0.006356903,24.76008614,0.233841809,0.776274383,0.908192356,0.003098209,0.003554656,0.003531936,0.931951182
NIST 610-12,5.13782298,0.04901173,0.15917494,0.195092477,0.001927755,0.006260753,24.37295813,0.228561868,0.761766278,0.907071031,0.003078299,0.003536321,0.213437727,0.935806304
NIST 610-13,4.889621986,0.051888544,0.152805497,0.205212346,0.002251901,0.006631575,25.52149695,0.265625694,0.803281262,0.903292585,0.004564542,0.004882513,0.244006316,0.83881789
NIST 610-14,5.159411693,0.052837143,0.165385539,0.194276254,0.002009473,0.00628985,24.31281677,0.256201968,0.772480469,0.906625136,0.004624281,0.004940652,0.22816681,0.867441943
NIST 610-15,5.085921656,0.053958132,0.159185789,0.197176303,0.002157394,0.006364685,24.60953172,0.245751531,0.769386333,0.905956875,0.004343418,0.004678369,0.35548829,0.872189111
NIST 610-16,5.090741468,0.051077708,0.159693602,0.197208658,0.00203018,0.006347323,24.59182588,0.236874519,0.769925576,0.906811883,0.003959669,0.004325103,0.252277678,0.907340262
NIST 610-17,4.893564763,0.05081228,0.152948016,0.205416479,0.002191994,0.006598034,25.6711478,0.26025395,0.802625554,0.906673544,0.004328305,0.004664841,0.273238322,0.893303
NIST 610-19,5.072969821,0.045943044,0.158728087,0.19744018,0.001814171,0.006267759,24.82627542,0.224248184,0.769372843,0.910350904,0.004401717,0.004735617,0.282770884,0.836242177
NIST 610-2,5.271273747,0.060096914,0.165758444,0.190717507,0.002267056,0.00625296,23.86332224,0.280152471,0.76505554,0.907116872,0.003379392,0.003801284,0.106561137,0.948722774
NIST 610-3,5.203389842,0.050677073,0.162273957,0.192881858,0.001928895,0.006176549,24.08207915,0.230231874,0.751764259,0.906389049,0.003086228,0.00354252,0.201607327,0.935302326
NIST 610-4,5.078300542,0.056697645,0.159536391,0.19798115,0.002293526,0.006453547,24.6461181,0.270774707,0.781839023,0.903708073,0.003047029,0.003505921,0.198724018,0.947757143
NIST 610-5,5.22108503,0.051405203,0.165075255,0.192168889,0.001918294,0.006160133,24.06847404,0.227699714,0.751202874,0.908658255,0.002941252,0.003419208,0.237182804,0.94345359
NIST 610-6,4.937817608,0.050875721,0.151488511,0.203690951,0.002205568,0.006567342,25.42944988,0.267034804,0.800028193,0.902177418,0.003882256,0.004250746,0.18029141,0.913670582
NIST 610-7,5.07960944,0.050124253,0.159131217,0.197661097,0.002006124,0.00636891,24.71172015,0.240618768,0.77599542,0.908675858,0.003663434,0.004057182,0.207345638,0.913699716
NIST 610-8,5.070126629,0.055955146,0.158837568,0.198225094,0.002273432,0.006453497,24.77493764,0.266967888,0.784104955,0.908124621,0.00289249,0.003376745,0.232707411,0.954810326
NIST 610-9,5.11156003,0.05190095,0.162565009,0.196408717,0.002014627,0.006310249,24.49585329,0.245328026,0.768497997,0.905998592,0.003616933,0.004012987,0.187466914,0.920506682
G_NIST610,,,,,,,,,,,,,,
NIST 610 - 1,5.109239996,0.052679828,0.183074941,0.196199814,0.002115834,0.006945738,24.97084192,0.236795831,0.856523383,0.909814742,0.004396511,0.010074925,0.51476804,0.68018786
NIST 610 - 10,4.907594753,0.060150821,0.163797272,0.203572347,0.002382646,0.00693611,25.56854957,0.263418063,0.859982368,0.904883626,0.006438694,0.007140147,0.353241704,0.728655828
NIST 610 - 11,5.13895538,0.059619166,0.174735642,0.194955313,0.002808138,0.006820716,24.3305269,0.289397245,0.841736449,0.908791461,0.007857751,0.007789877,0.277360554,0.777133603
NIST 610 - 12,5.065180955,0.061873838,0.173379779,0.19853854,0.002506095,0.007050045,24.79114659,0.308961658,0.860522035,0.903825455,0.005262031,0.009314806,0.403852714,0.717355256
NIST 610 - 13,5.084016286,0.070734398,0.17418262,0.197166999,0.002870174,0.006863938,24.06055609,0.308983065,0.830656638,0.907748199,0.007412474,0.009146885,0.437891931,0.645836564
NIST 610 - 14,5.38826011,0.055852577,0.190743785,0.190732219,0.002154007,0.006850348,23.8469858,0.265462358,0.830344819,0.907331257,0.004489231,0.008865349,0.439524347,0.778841349
NIST 610 - 15,4.96229071,0.080576675,0.171729297,0.202438663,0.002877205,0.00714083,25.09708199,0.360061041,0.858839965,0.908281178,0.010879093,0.008798795,0.48908407,0.712464428
NIST 610 - 16,5.02498479,0.079794439,0.181713726,0.199141415,0.002807239,0.00698382,24.38904464,0.339517715,0.839192217,0.906287772,0.009839605,0.00796607,0.385588908,0.812627535
NIST 610 - 17,4.998235023,0.087190498,0.173258167,0.198790803,0.002878457,0.006977199,24.83241477,0.356718365,0.863149288,0.915060819,0.009942634,0.010186094,0.453018732,0.640079791
NIST 610 - 18,5.623647671,0.069294161,0.191108367,0.179505776,0.002570291,0.006408631,23.27115506,0.33755303,0.813436219,0.910027246,0.00866686,0.008723329,0.353513667,0.767379902
NIST 610 - 19,5.065110808,0.07291725,0.180283707,0.197087336,0.002888719,0.007024159,24.43794473,0.367737793,0.861969652,0.906625328,0.010442223,0.009624967,0.413501729,0.736431864
NIST 610 - 2,4.646197402,0.068130731,0.161023149,0.218082948,0.002897641,0.007584393,26.13514903,0.362202104,0.882834747,0.910190071,0.009450481,0.00817062,0.537948484,0.759113049
NIST 610 - 20,5.174993372,0.060864859,0.176133027,0.195311748,0.002353427,0.006810435,24.95769167,0.317319377,0.861304668,0.91053385,0.007511415,0.007838352,0.186459466,0.804832301
NIST 610 - 21,4.828895997,0.068382122,0.173314559,0.207041286,0.002664283,0.007371173,25.42492545,0.340248751,0.89591968,0.908042505,0.009362928,0.009710956,0.351570477,0.732525212
NIST 610 - 22,5.089747468,0.069311219,0.180379844,0.198073909,0.002324284,0.007146,24.65629702,0.297328483,0.88000452,0.908156855,0.008431103,0.010678586,0.362619064,0.695170217
NIST 610 - 23,5.161452771,0.064216199,0.182015648,0.193778063,0.002586021,0.006751409,24.53805603,0.327206063,0.849818657,0.906096877,0.00993418,0.008948967,0.336245877,0.758968948
NIST 610 - 24,5.100942187,0.067731239,0.169823019,0.197159286,0.002603121,0.006820775,24.31994542,0.295884731,0.82594922,0.908953458,0.007647643,0.004932613,0.374650879,0.879776445
NIST 610 - 25,5.054703911,0.064055928,0.175593666,0.199323276,0.002663567,0.006955475,24.50243187,0.292760872,0.836080308,0.907952908,0.008510292,0.006815208,0.4470119,0.812208656
NIST 610 - 26,5.126289645,0.077532967,0.180681457,0.197172089,0.002784509,0.007045589,24.50620975,0.307002193,0.852952206,0.910341195,0.008579691,0.009370542,0.492925729,0.771398462
NIST 610 - 27,6.846073762,0.060649724,0.268084384,0.157097185,0.002389997,0.005915818,19.761673,0.289524374,0.726154997,0.907415794,0.008870039,0.010654583,0.49938846,0.73194376
NIST 610 - 28,5.058361343,0.067008892,0.182745145,0.196550362,0.002724745,0.007025782,25.09512309,0.323129586,0.862443389,0.911746401,0.009045482,0.009293505,0.545015799,0.766921651
NIST 610 - 3,5.092053849,0.061090296,0.172926971,0.197317134,0.002384628,0.007004113,25.40589966,0.304212175,0.88093831,0.908839607,0.007462094,0.005717404,0.261725694,0.881326035
NIST 610 - 4,4.843029092,0.051952559,0.176836884,0.206903742,0.002199967,0.00717547,25.98093606,0.280111342,0.889107908,0.909802034,0.006784192,0.007743078,0.559822134,0.823321742
NIST 610 - 5,5.1927608,0.078945535,0.175817426,0.193711176,0.002820964,0.006780565,24.45507195,0.30857202,0.839470464,0.915224555,0.009399943,0.005022309,0.321359727,0.89952877
NIST 610 - 6,5.301837742,0.070214036,0.19317852,0.189521727,0.002663872,0.006897955,23.4574869,0.303561105,0.845091453,0.90722267,0.009823109,0.011105709,0.375908971,0.700012775
NIST 610 - 7,5.403525392,0.071879544,0.191652781,0.186008491,0.002802909,0.006742515,23.63368074,0.312504579,0.834523552,0.905410613,0.009098934,0.010088622,0.454298884,0.736364123
NIST 610 - 8,5.436106536,0.075685191,0.205255702,0.185737254,0.002909777,0.006776195,23.05081014,0.323264091,0.829698619,0.911367527,0.00901872,0.010192333,0.385468347,0.728776883
NIST 610 - 9,5.305164568,0.112108348,0.189523378,0.1874343,0.002473895,0.006772247,23.09317127,0.282216215,0.810378431,0.910833246,0.010418058,0.009663374,0.562500152,0.731004679
Fe-Grab ,,,,,,,,,,,,,,
Fe-Grab-1,0.230525436,0.008938,0.011579035,4.593213775,0.169900749,0.22009464,368.9817496,16.31463642,19.6648768,0.590837221,0.013385798,0.013433722,-0.080447066,0.878727892
Fe-Grab-10,1.815347886,0.180013,0.186752077,0.828827946,0.091448588,0.094872156,71.69569548,9.380859138,9.620465866,0.654339142,0.054381509,0.054396,0.127334263,0.853273726
Fe-Grab-11,1.352752369,0.109306,0.116206176,0.935577524,0.079005686,0.083992823,79.88581994,7.192321109,7.575135609,0.637169587,0.034710095,0.03473162,0.055425881,0.097551993
Fe-Grab-12,1.517902811,0.110991,0.120395112,0.783908116,0.056840081,0.061656311,71.97099517,5.791784666,6.175233699,0.696354523,0.052150075,0.052167189,0.477772456,0.46349998
Fe-Grab-13,0.952746286,0.053892,0.058992046,1.170828809,0.080143199,0.087727665,100.6768258,7.382430122,7.96738346,0.632535428,0.025836517,0.025865009,0.263209752,0.825175497
Fe-Grab-14,2.107549917,0.174656,0.185512637,0.601642756,0.051213242,0.054396672,44.70984437,4.491045987,4.684062268,0.564193094,0.040485186,0.040499657,0.438715836,0.826647056
Fe-Grab-15,1.57929351,0.116979,0.122848838,0.791941452,0.075255507,0.079031585,65.5035901,7.613253418,7.858962563,0.60391813,0.030173932,0.030196174,0.081479605,0.933382
Fe-Grab-16,1.725405244,0.145928,0.153996925,0.785706462,0.071033739,0.074961353,71.44443748,7.53949495,7.833668929,0.643856949,0.029731265,0.029756922,-0.029783824,0.905407336
Fe-Grab-17,1.932817602,0.133716,0.144007998,0.60811226,0.046357825,0.049925784,49.96553363,4.242246043,4.495398843,0.611220592,0.037387454,0.037405844,0.431993508,0.802699041
Fe-Grab-18,3.759098688,0.418774,0.434923627,0.39835084,0.043300231,0.044970086,30.67589423,7.609640645,7.664219011,0.5780975,0.072550037,0.072558516,0.006060024,0.815531546
Fe-Grab-19,6.560173014,0.798306,0.812607015,0.379957603,0.06091636,0.062007644,27.77926823,6.197219407,6.252143978,0.367654314,0.045475086,0.045480557,0.446692255,0.943270887
Fe-Grab-2,2.60905572,0.155334,0.16923853,0.438532471,0.030905652,0.033672154,35.57931357,4.332664225,4.46015439,0.576688439,0.044721108,0.044734796,0.002591055,0.240217995
Fe-Grab-20,9.811093122,1.024336,1.03659044,0.193799905,0.038082694,0.038538274,15.6002468,4.813128997,4.835480381,0.435074489,0.071516925,0.071521797,0.151307006,0.705017809
Fe-Grab-21,2.814442452,0.173781,0.192253346,0.404136488,0.026039053,0.028806852,29.93784458,2.862727046,2.998304846,0.538265356,0.029998158,0.030015933,0.021139184,0.829371618
Fe-Grab-22,5.595061574,0.473289,0.496238646,0.232034191,0.022452317,0.023541002,17.71727024,2.684062972,2.735422318,0.494929292,0.040362522,0.040373692,0.411621337,0.893558578
Fe-Grab-23,1.76699802,0.110166,0.117952611,0.671102099,0.053485505,0.057266133,53.65525986,4.09544478,4.395953155,0.626485336,0.039700247,0.039718442,0.165360593,0.270364937
Fe-Grab-24,3.509778159,0.274859,0.287924398,0.358871948,0.035074002,0.036741218,27.55742182,3.271191371,3.372565851,0.625649696,0.060742889,0.060754751,0.6511545,0.904985954
Fe-Grab-25,2.314681879,0.175885,0.190381634,0.515982677,0.037992921,0.04112445,42.9297799,4.760622342,4.929369055,0.588590649,0.031204371,0.031224801,0.113160871,0.980263138
Fe-Grab-26,2.18327334,0.138526,0.151863516,0.526529714,0.035743645,0.039185059,42.07095145,3.484745633,3.703169873,0.60192239,0.033797986,0.033817714,0.242130314,0.640761353
