,Spot size (Âµm),Fe57_mean,Pb204_mean,Pb206_mean,Pb207_mean,Pb208_mean,Th232_mean,U238_mean,TotalBeam_mean,BeamSeconds_mean,Mask_mean,Fe57_CPS_mean,Pb204_CPS_mean,Pb206_CPS_mean,Pb207_CPS_mean,Pb208_CPS_mean,Th232_CPS_mean,U238_CPS_mean,TotalBeam_CPS_mean,Pb206/U238_mean,Pb206/U238 age_mean,Pb207/U235_mean,Pb207/U235 age_mean,Pb208/Th232_mean,Pb208/Th232 age_mean,DC Pb206/U238_mean,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb207/U235_mean,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb208/Th232_mean,DC Pb208/Th232 age_mean,DC Pb207/Pb206_mean,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC U238/Pb206_mean,Raw U/Th_mean,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
HFO-39,60,4.4376e+07,14512.8,171567,155219,367682,59.5506,1.27565e+06,4.63566e+07,20.9995,1,4.43748e+07,9675.87,171556,155209,367660,58.4645,1.27563e+06,4.63504e+07,0.137308,828.786,17.1192,2935.2,-185972,160874,0.322092,0.00996489,1799.69,13.6349,0.412902,2724.07,-185972,160874,0.904529,0.00478036,4978.7,3.10865,-655562,0.124309,0.00384061,755.267,22.0127,15.665,0.473416,2855.96,28.8452,0.914323,0.004832,4977.89,37.8498,8.05053,0.247871,0.566548,0.424353,
HFO-40,60,3.97772e+07,13120.2,149886,136443,320157,55.3073,1.07558e+06,4.1467e+07,20.9995,1,3.97767e+07,9075,149878,136436,320143,53.6904,1.07556e+06,4.14624e+07,0.141123,850.597,17.7262,2970.92,-108722,159152,0.333037,0.0103798,1852.7,14.1634,0.428843,2760.09,-108722,159152,0.909421,0.00462854,4976.82,3.00839,-361644,0.125039,0.0038742,759.425,22.1872,15.7658,0.473791,2862.1,28.7069,0.918058,0.00467267,4986.56,17.7291,8.01174,0.246581,0.660956,0.521372,
HFO-41,60,4.08581e+07,13349.5,152564,138767,326262,58.6592,1.12135e+06,4.26088e+07,20.9995,1,4.08567e+07,9281.18,152555,138758,326246,58.0975,1.12132e+06,4.26033e+07,0.137726,831.427,17.296,2947.72,-350651,159441,0.324618,0.0101007,1813.02,13.8265,0.419365,2737.22,-350651,159441,0.910003,0.00397414,nan,3.08355,-1.15361e+06,0.12231,0.00377589,744.27,21.1826,15.4506,0.464294,2842.77,28.6151,0.918751,0.00401239,nan,,8.18077,0.244193,0.781908,0.372198,
HFO-42,60,4.23546e+07,13482.5,156510,142058,335585,73.8889,1.17882e+06,4.41794e+07,21.105,1,4.23536e+07,8948,156500,142049,335568,74.0935,1.17879e+06,4.41739e+07,0.134802,816.091,16.896,2924.64,833323,221434,0.317302,0.00983139,1776.28,13.4732,0.408261,2713.38,833323,221434,0.906561,0.00458522,4983.99,3.15598,2.92758e+06,0.119902,0.00360494,730.404,21.2858,15.1154,0.455253,2822.51,29.4056,0.915414,0.00462936,4997.84,0,8.34123,0.257075,0.646172,0.382207,
HFO-43,60,4.27639e+07,13323.5,157560,142888,337032,65.5556,1.18991e+06,4.46012e+07,20.8935,1,4.27634e+07,9400.05,157553,142880,337022,65.4863,1.18989e+06,4.45968e+07,0.135155,816.62,16.8831,2922.27,212810,196936,0.317417,0.00978717,1776.92,13.4739,0.407454,2713.47,212810,196936,0.906751,0.0044781,4984.85,3.15355,2.38792e+06,0.122408,0.00377397,744.368,21.6807,15.4423,0.466885,2842.94,28.2944,0.915543,0.00452166,4998.46,0,8.17146,0.253777,0.566987,0.354733,
HFO-44,60,4.29654e+07,13547.2,157813,143508,338861,72.067,1.19429e+06,4.481e+07,20.8935,1,4.29641e+07,9526.84,157802,143499,338851,71.2283,1.19425e+06,4.48046e+07,0.134247,811.551,16.8428,2920.87,-209869,157992,0.315678,0.00973308,1768.4,13.4522,0.404832,2711.54,-209869,157992,0.909523,0.0039353,4980.28,3.16899,-763472,0.121671,0.00375433,740.135,21.5699,15.4038,0.463939,2840.15,28.6549,0.918111,0.00397241,4979.53,0,8.21628,0.245383,0.634176,0.519651,
HFO-45,60,4.27924e+07,13436,157549,143749,337531,70.3911,1.18359e+06,4.46251e+07,20.8935,1,4.27913e+07,8955.84,157537,143740,337520,69.106,1.18356e+06,4.46194e+07,0.134474,815.323,16.9409,2928.18,-120898,159656,0.318077,0.00990768,1781.12,13.5523,0.411325,2718.88,-120898,159656,0.91037,0.00451206,4991.5,3.14528,-424134,0.122526,0.00382127,745.535,22.4341,15.5048,0.471625,2846.71,29.6549,0.918753,0.00455379,nan,,8.15967,0.251308,0.73034,0.401803,
HFO-46,60,4.3348e+07,13243.9,155035,140583,330314,65.3632,1.18285e+06,4.51683e+07,20.8935,1,4.33475e+07,9258.2,155028,140574,330301,63.4846,1.18283e+06,4.51637e+07,0.132663,802.749,16.6057,2910.44,-84304.2,160378,0.313508,0.00977892,1757.58,13.304,0.40438,2701.39,-84304.2,160378,0.90664,0.00443088,4984.97,3.19354,-297949,0.122915,0.00380783,747.244,21.8422,15.4999,0.467817,2846.4,29.333,0.915649,0.00447493,4988.93,4.50312,8.14096,0.249764,0.751528,0.395714,
HFO-47,60,4.31806e+07,13302.6,154099,140191,330702,66.4804,1.18393e+06,4.5001e+07,20.8935,1,4.31793e+07,9258.73,154088,140180,330688,65.089,1.18388e+06,4.49955e+07,0.131955,799.859,16.5829,2907.39,-111985,160103,0.311642,0.00966559,1748.51,13.2689,0.401881,2698.35,-111985,160103,0.91014,0.00423216,4970.15,3.21352,-396415,0.122551,0.00377684,745.172,21.6736,15.5054,0.466142,2846.2,28.7136,0.919055,0.00427407,4984,32.9119,8.16239,0.249126,0.685388,0.386309,
HFO-48,60,4.28814e+07,13165.3,153650,139937,330151,55.6818,1.19415e+06,4.47092e+07,21.105,1,4.28803e+07,8790.54,153640,139927,330137,55.0551,1.19412e+06,4.47035e+07,0.130371,789.66,16.4193,2897.12,-298553,158827,0.307478,0.00951888,1728.05,13.0894,0.395489,2685.59,-298553,158827,0.908712,0.0043096,nan,3.25423,-1.05279e+06,0.121212,0.0036182,737.49,20.8051,15.3441,0.461273,2836.31,28.7497,0.917477,0.00435063,nan,,8.24129,0.245399,0.682515,0.449009,
JK_21_G_Band
JK_21_G_Band-1,60,2.74408e+07,5248.28,1920.59,1421.75,3113.18,637.097,1845.04,2.74551e+07,21.1056,1,2.74402e+07,205.534,1908.91,1413.99,3101.07,636.802,1841.72,2.74494e+07,1.09943,4675.33,116.188,4748.99,5.95425,36456,2.64135,0.200438,8136.43,97.0588,8.82466,4527.83,5.95425,36456,0.737486,0.0198319,4702.6,0.455824,3.74977,1.00612,0.0763235,4383.2,253.645,109.303,9.93534,4646.94,96.8684,0.739644,0.0198905,4706.8,33.789,1.19521,0.116756,0.965298,-0.240912,
JK_21_G_Band-2,60,2.64457e+07,5318.76,2186.56,1617.17,3664.4,911.466,1650.78,2.64614e+07,20.9995,1,2.64448e+07,184.459,2176.38,1609,3652.48,911.449,1646.68,2.64553e+07,1.31336,5339.01,135.954,4989.16,4.39157,32732.4,3.15793,0.20669,9003.99,109.894,7.28828,4752.49,4.39157,32732.4,0.753592,0.0186322,4721.56,0.338894,2.03039,1.20452,0.0788222,4975.99,201.569,123.918,8.217,4873.33,61.5167,0.755716,0.0186845,4725.61,28.7018,0.887475,0.0490814,0.949953,0.0755651,
JK_21_G_Band-3,60,2.85873e+07,5176.03,1878.7,1305.29,2875.76,990.598,1784.15,2.86013e+07,21.1056,1,2.85865e+07,92.4397,1870.98,1296.16,2864.4,990.374,1782.52,2.85954e+07,1.03265,4554.67,98.1955,4655.64,3.16901,27891.7,2.41858,0.117709,7932.2,78.9655,4.39509,4436.06,3.16901,27891.7,0.69511,0.0174151,4652.51,0.423959,1.94698,0.923959,0.0449337,4232,166.884,89.1742,4.96019,4558.01,58.105,0.69698,0.0174623,4656.39,32.1555,1.10845,0.0588624,0.927492,0.152686,
JK_21_G_Band-4,60,2.90271e+07,5200.48,1771.83,1235.43,2658.72,942.498,1755.21,2.90407e+07,21.1056,1,2.90262e+07,170.184,1764.28,1226.77,2648.34,942.46,1753.65,2.90348e+07,1.01087,4467.88,97.0113,4630.62,3.15871,27958.8,2.4024,0.125639,7779.51,78.5544,4.28209,4403.99,3.15871,27958.8,0.697821,0.0185606,4646.76,0.431506,2.08752,0.91936,0.0480441,4149.24,149.721,88.8562,4.84023,4527.57,49.4654,0.699598,0.0186079,4650.43,32.5803,1.12624,0.0544769,0.91437,0.294994,
JK_21_G_Band-5,60,2.90703e+07,4955.66,1920.71,1244.09,2840.01,753.397,2117.96,2.90842e+07,21.105,1,2.90697e+07,4.26673,1911.58,1236.8,2828.97,753.163,2115.1,2.90786e+07,0.895172,4101.1,79.2112,4440.65,4.74755,32278.6,2.13347,0.119455,7265.1,63.9045,3.61019,4214.64,4.74755,32278.6,0.654209,0.0173856,4593.91,0.494005,3.34564,0.818032,0.0457636,3797.12,147.202,72.4211,4.08823,4339.76,53.1688,0.655769,0.0174271,4597.36,36.181,1.28685,0.0631781,0.861543,0.171087,
JK_21_G_Band-6,60,2.90442e+07,5021.24,1944.65,1326.85,2954.3,1120.41,1934.19,2.90589e+07,21.105,1,2.90434e+07,153.393,1935.85,1319.4,2940.37,1119.28,1931.73,2.90531e+07,0.984793,4365.37,91.6483,4565.3,2.98078,26552.4,2.3588,0.150131,7634.5,74.454,4.70138,4336.77,2.98078,26552.4,0.688466,0.0168376,4660.74,0.454427,1.96727,0.906363,0.0576392,4074.58,170.655,84.5507,5.33466,4464.21,53.4145,0.689984,0.0168749,4663.91,35.3278,1.18122,0.0605138,0.964954,0.128833,
JK_21_G_Band-7,60,2.96328e+07,4853.68,1815.89,1265.1,2816.74,973.375,1723.14,2.96464e+07,21.1056,1,2.96319e+07,-6.83157,1806.57,1255.4,2799.65,971.506,1722.01,2.96406e+07,1.02991,4492.54,98.594,4618.02,3.17249,27809.8,2.4733,0.170316,7844.24,80.8663,6.28803,4399.15,3.17249,27809.8,0.689837,0.0187178,4639.56,0.440179,2.01082,0.952604,0.0655443,4207.03,186.879,92.0412,7.15176,4528.95,64.0231,0.691219,0.0187557,4642.45,32.4138,1.14152,0.0598293,0.852765,0.0409773,
JK_21_G_Band-8,60,2.84829e+07,5114.41,1736.83,1194.18,2608.67,697.244,1780.02,2.84961e+07,20.8935,1,2.84823e+07,188.87,1726.68,1184.56,2588.46,695.253,1777.1,2.84905e+07,0.967818,4319.2,91.6411,4560.31,4.45731,31999.9,2.35006,0.146701,7618.47,74.9448,4.83686,4336.12,4.45731,31999.9,0.687405,0.0190181,4628.85,0.462482,3.06872,0.907492,0.0565941,4079.62,171.91,85.5199,5.51432,4468.4,57.5318,0.688627,0.019052,4631.42,35.0895,1.19631,0.0644563,0.931094,0.136981,
JK_21_G_Band-9,60,2.79325e+07,5017.07,2085.88,1369.08,3048.44,777.804,2379.9,2.79473e+07,20.8935,1,2.79324e+07,-124.506,2076.8,1362.08,3024.28,776.789,2381.96,2.7942e+07,0.860608,3994.14,77.0359,4414.52,4.33446,32326.1,2.0498,0.100399,7102.57,62.2581,3.16972,4190.63,4.33446,32326.1,0.660811,0.0160146,4604.51,0.504931,3.3752,0.79421,0.0388441,3730.29,131.219,71.2793,3.62435,4325.96,48.3976,0.661794,0.0160387,4606.66,34.3043,1.30195,0.0621167,0.881552,0.194255,
JK_21_G_Band-10,60,2.87942e+07,5069.32,2078.62,1354.16,2918.93,756.136,2388.44,2.8809e+07,21.1056,1,2.87938e+07,91.0609,2068.88,1346.84,2906.33,753.73,2386.67,2.88036e+07,0.840728,3923.09,73.8192,4391.74,4.41253,32710.9,2.0127,0.119587,6985.69,60.0843,3.74093,4162.69,4.41253,32710.9,0.644049,0.0152393,4572.76,0.526556,3.67995,0.801305,0.0475847,3725.29,161.152,70.6745,4.39806,4324.88,63.7352,0.643478,0.015226,4571.47,32.3549,1.32381,0.0696703,0.915122,-0.025788,
JK_21_G_Band-11,60,3.03233e+07,5085.43,2086.62,1464.36,3280.91,780.582,2020.84,3.03382e+07,21.1056,1,3.03224e+07,77.0323,2077.14,1456.23,3266.55,778.557,2018.25,3.03322e+07,1.01762,4502.12,97.6647,4644.89,4.78735,33513.5,2.41054,0.129094,7808.89,78.1628,4.25916,4420.55,4.78735,33513.5,0.700761,0.0197561,4648.99,0.434247,2.9865,0.960926,0.0514364,4298.77,164.148,92.7755,5.27937,4584.63,53.4169,0.700059,0.0197362,4647.55,31.2584,1.09049,0.0533125,0.833105,0.198272,
JK_21_G_Band-12,60,2.84223e+07,4948.71,1662.45,1206.43,2635.3,469.454,1337.63,2.84346e+07,21.1056,1,2.84214e+07,1.42621,1652.36,1198.46,2618.76,468.223,1335.63,2.84287e+07,1.22428,5101.53,124.584,4855.97,7.50518,39412.8,2.92304,0.163945,8695.73,100.917,6.63916,4631.28,7.50518,39412.8,0.729487,0.022219,4665.43,0.366296,3.82868,1.1664,0.0653962,4914.97,188.816,118.97,7.82464,4796.71,58.8798,0.728689,0.0221946,4663.85,30.4895,0.919014,0.0486171,0.584787,0.0126019,
JK_21_G_Band-13,60,2.82979e+07,5023.03,1725.46,1145.05,2502.51,786.138,1684.89,2.83108e+07,21.1056,1,2.82973e+07,52.9288,1714,1138.36,2484.9,785.904,1682.46,2.83052e+07,1.01822,4477.71,93.2954,4582.48,3.60952,29427.5,2.43613,0.143151,7800.96,75.3054,4.66086,4358.27,3.60952,29427.5,0.669011,0.0204897,4587.18,0.441133,2.36927,0.972847,0.0571522,4302.29,170.222,88.8427,5.49757,4523.92,56.4942,0.668231,0.0204657,4585.49,37.958,1.10603,0.0548773,0.865455,0.327071,
JK_21_G_Band-14,60,2.88376e+07,4914.05,1877.9,1273.74,2899.24,746.136,1758.68,2.88512e+07,20.8935,1,2.88369e+07,69.2151,1866.69,1266.42,2880.79,745.905,1754.74,2.88456e+07,1.05833,4626.9,98.9977,4651.33,4.39392,32726,2.51811,0.134506,8054.22,80.628,4.4036,4427.9,4.39392,32726,0.686448,0.0171658,4641.73,0.420461,2.68466,1.0061,0.0537324,4423.23,163.729,95.1685,5.19696,4594.2,51.4693,0.685613,0.0171449,4642.21,32.5894,1.05372,0.055046,0.871826,0.23492,
JK_21_G_Band-15,60,2.84972e+07,5035.97,2046.73,1441.19,3256.03,806.697,1819.8,2.85117e+07,20.9995,1,2.84965e+07,172.799,2036.24,1432.21,3236.43,805.275,1816.02,2.8506e+07,1.09482,4726.02,106.189,4726.17,4.75589,33062.7,2.62632,0.143463,8211.78,86.5823,4.97106,4503.76,4.75589,33062.7,0.707768,0.0183626,4675.19,0.401007,2.84289,1.04964,0.057333,4572.67,176.015,102.223,5.86871,4670.44,55.4487,0.706885,0.0183397,4673.39,30.6993,1.00471,0.0503882,0.872261,0.335187,
JK_21_G_Band-16,60,2.83016e+07,4914.89,1748.71,1213.06,2674.74,606.837,1671.62,2.83148e+07,20.8935,1,2.83007e+07,151.088,1738.55,1204.2,2654.57,604.379,1669.31,2.83089e+07,1.02534,4520.97,98.5203,4646.36,5.03436,34997.3,2.42003,0.114267,7860.95,79.0237,3.99901,4430.72,5.03436,34997.3,0.690585,0.0169065,4666.29,0.421999,3.22504,0.967246,0.0456719,4336.26,151.833,93.302,4.72171,4597.3,53.1422,0.689716,0.0168852,4664.48,32.0717,1.05726,0.0538737,0.764479,0.209158,
JK_21_G_Band-17,60,2.84828e+07,4948.98,2183.99,1422.66,3274.78,1963.34,2085.87,2.84995e+07,21.1056,1,2.84823e+07,15.7686,2173.59,1414.52,3254.64,1960.49,2083.86,2.84939e+07,1.01773,4464.48,95.3088,4562.62,2.5054,23506.6,2.43695,0.170604,7776.1,78.401,6.10236,4333.13,2.5054,23506.6,0.674828,0.0220851,4583.49,0.472679,1.51116,0.973862,0.0681824,4316.48,222.873,92.5508,7.20427,4499.1,82.3087,0.673985,0.0220576,4581.68,42.421,1.1844,0.0820661,0.898341,-0.163192,
JK_21_G_Band-18,60,2.34975e+07,5278.01,1376.51,926.518,2237.1,851.429,1357.62,2.35097e+07,21.105,1,2.3497e+07,63.9592,1366.11,917.531,2216.84,848.794,1356.04,2.35039e+07,0.979643,4356.94,89.5409,4579.51,2.8152,26151.6,2.31869,0.128382,7626.14,72.7378,4.12458,4355.8,2.8152,26151.6,0.682245,0.0218996,4579.98,0.45843,1.74344,0.926203,0.0512916,4181.28,166.364,85.8258,4.86751,4521.56,59.9112,0.681415,0.021873,4578.21,41.5977,1.14914,0.0603096,0.876119,0.256783,
JK_21_G_Band-19,60,2.19228e+07,5243.83,1773.75,1363,3125.21,1096.04,1124.86,2.19369e+07,20.8935,1,2.19221e+07,124.787,1764.72,1352.89,3104.81,1093.72,1123.51,2.1931e+07,1.5316,5813.1,159.041,5064.2,2.90158,26535.7,3.76309,0.301814,9607.95,133.154,11.4808,4852.38,2.90158,26535.7,0.752567,0.0218491,4678.16,0.325394,1.23544,1.50235,0.120516,5652.13,290.534,157.024,13.5412,5018.29,85.5959,0.751686,0.0218234,4676.48,42.8629,0.816098,0.0575606,0.849036,-0.0382898,
JK_21_G_Band-20,60,2.24698e+07,5196.86,1359.53,1028.77,2344.96,642.715,904.124,2.24814e+07,20.8935,1,2.24691e+07,153.753,1351.79,1019.55,2325.99,640.573,901.88,2.24757e+07,1.42975,5540.71,149.868,5034.26,4.57468,31124.2,3.49471,0.298678,9309.95,124.979,11.7777,4803.5,4.57468,31124.2,0.752243,0.023737,4675.44,0.331658,1.9777,1.39414,0.119179,5363.18,285.83,147.269,13.8813,4968.52,87.1969,0.751412,0.0237105,4673.85,39.5983,0.832379,0.0541806,0.912544,-0.0187378,
JK_21_G_Band-21,60,2.60575e+07,5125.03,1444.22,1008.76,2411.36,1011.61,1307.29,2.607e+07,20.8935,1,2.60568e+07,12.7553,1436.66,1001.47,2394.84,1009.63,1304.51,2.60642e+07,1.09986,4701.57,104.974,4691.98,2.59242,24761.7,2.62552,0.179018,8149.79,86.1338,6.31481,4468.48,2.59242,24761.7,0.699043,0.0215721,4627.03,0.417139,1.41731,1.0464,0.0713679,4552.5,208.524,101.398,7.43644,4632.11,61.9224,0.698327,0.0215497,4628.07,38.555,1.04779,0.0556585,0.920236,0.230457,
JK_21_G_Band-22,60,2.68058e+07,5152.68,1904.28,1282.44,2939,1453.2,1857.57,2.68206e+07,21.1056,1,2.68049e+07,106.141,1897,1275.98,2924.26,1451.37,1855.38,2.68147e+07,1.01328,4433.99,93.0601,4601.27,2.15922,22421.5,2.40597,0.143445,7738.6,75.564,4.47509,4375.65,2.15922,22421.5,0.689873,0.0185487,4627.8,0.440544,1.35296,0.957857,0.0571334,4251.57,171.261,88.8561,5.26466,4538,54.8146,0.689235,0.0185314,4626.47,34.5305,1.10767,0.055738,0.671371,0.15302,
JK_21_G_Band-23,60,2.63093e+07,5181.3,1987.24,1379.28,3236.8,1282.85,1858.8,2.63244e+07,20.8935,1,2.63085e+07,128.916,1980.38,1372.26,3222.88,1281.32,1857.29,2.63185e+07,1.0504,4592.88,100.768,4675.03,2.78058,26274.9,2.49287,0.127911,7977.33,81.7709,4.45265,4450.43,2.78058,26274.9,0.715413,0.01904,4667.42,0.418553,1.57416,0.991223,0.0508895,4404.38,161.088,96.0347,5.2322,4611.69,51.3838,0.714833,0.0190242,4666.25,35.1454,1.05355,0.0541373,0.839896,0.194721,
JK_21_G_Band-24,60,2.54633e+07,5189.85,1739.12,1208.67,2785.27,1124.5,1634.44,2.54775e+07,21.105,1,2.54627e+07,65.3991,1731.47,1201.25,2771.51,1123.45,1632.44,2.54717e+07,1.0388,4531.31,98.4369,4634.32,2.72747,25240.9,2.50976,0.162899,7888.75,80.8436,5.35095,4409.9,2.72747,25240.9,0.705493,0.0204311,4631.81,0.438767,1.59469,0.996586,0.0647193,4329.97,181.434,94.8165,6.27904,4569.64,60.6121,0.705012,0.020417,4630.82,40.5933,1.10583,0.0613,0.656412,0.181527,
JK_21_G_Band-25,60,2.3664e+07,5215.29,1424.33,964.731,2252.73,998.921,1476.98,2.36764e+07,21.1056,1,2.36633e+07,183.629,1416.1,956.969,2238.8,998.606,1473.98,2.36706e+07,0.95898,4289.08,89.4814,4543.8,2.46033,24295.9,2.27126,0.128271,7528.98,71.219,4.09319,4318.55,2.46033,24295.9,0.683728,0.0202355,4597.07,0.46622,1.62794,0.900491,0.0508856,4092.27,163.834,83.3984,4.79569,4476.61,55.2,0.683362,0.0202248,4596.29,38.0769,1.17663,0.0591727,0.873402,0.266122,
JK_21_G_Band-26,60,2.52381e+07,5129.06,1472.23,983.791,2277.63,1137.78,1416.94,2.52509e+07,20.8935,1,2.52377e+07,21.9961,1463.97,975.942,2263.63,1137.75,1414.84,2.52453e+07,1.01428,4455.01,93.73,4590.76,2.28487,22828.7,2.39659,0.159669,7774.95,76.4033,5.53107,4366.71,2.28487,22828.7,0.683892,0.0227143,4608.42,0.445329,1.45376,0.948652,0.0632401,4249.34,204.668,89.3257,6.46975,4523.2,62.7192,0.683634,0.0227062,4607.87,39.4766,1.12559,0.0605615,0.827761,0.152593,
JK_21_G_Band-27,60,2.43363e+07,4966.5,866.919,631.252,1437.52,228.494,787.915,2.43452e+07,20.8935,1,2.43355e+07,-59.1566,858.491,624.014,1423.21,228.13,785.982,2.43394e+07,1.11333,4752.35,112.312,4756.25,-272.466,40167.3,2.62086,0.15098,8137.68,90.9163,5.87205,4530.31,-272.466,40167.3,0.750719,0.0283522,4624.11,0.402715,-128.47,1.03546,0.0596794,4476.74,163.639,106.094,6.85547,4685.25,57.1818,0.750574,0.0283467,4623.83,53.0846,1.0196,0.0546107,0.896146,0.301828,
JK_21_G_Band-28,60,2.43503e+07,4833.76,980.825,667.321,1493.35,267.042,943.259,2.43595e+07,20.9995,1,2.43492e+07,88.4665,971.991,659.913,1478.7,266.823,939.462,2.43537e+07,1.07957,4660.67,100.784,4662.12,-227.416,37960.2,2.58071,0.169405,8048.33,81.5791,5.22509,4432.65,-227.416,37960.2,0.685913,0.0223294,4575.5,0.422158,-359.547,1.01775,0.0668461,4419.18,190.107,95.0248,6.08953,4585.6,53.4254,0.685908,0.0223294,4575.48,38.1572,1.07062,0.0547012,0.912381,0.178508,
JK_21_G_Band-29,60,2.91915e+07,4919.36,1603.12,1037.57,2224.65,671.131,2147.53,2.92041e+07,21.1056,1,2.91907e+07,108.793,1592.95,1029.61,2209.48,671.197,2145.36,2.91985e+07,0.747586,3583.19,66.0485,4258.58,3.72768,30423.7,1.75597,0.084311,6475.56,53.7031,2.78547,4032.13,3.72768,30423.7,0.648768,0.0182079,4561.85,0.586281,3.75306,0.691158,0.0332106,3354.17,125.894,62.4352,3.24051,4182.29,48.59,0.648891,0.0182115,4562.13,36.8625,1.48948,0.0760205,0.664355,0.346167,
JK_21_G_Band-30,60,2.65256e+07,4776.15,1487.58,962.161,2238.76,721.993,1993.68,2.6538e+07,21.105,1,2.65248e+07,-92.9575,1477.39,954.686,2222.63,721.828,1991.57,2.65323e+07,0.749232,3582.12,66.5012,4255.28,4.06965,29723.2,1.7842,0.0867775,6520.48,54.0097,2.82086,4034.89,4.06965,29723.2,0.652787,0.0210697,4540.14,0.589383,3.72613,0.700867,0.0341169,3390.35,124.99,62.6679,3.27572,4183.08,46.7664,0.653049,0.0210782,4540.72,37.5949,1.50015,0.0681862,0.0755553,0.09222,
JK_21_G_Band-31,60,2.79534e+07,4768.09,1482.77,908.144,2061.07,825.211,2075.17,2.79661e+07,21.105,1,2.79527e+07,8.31745,1474.57,901.261,2043.96,824.738,2074.33,2.79607e+07,0.712601,3451.01,59.8274,4155.46,3.46719,28483.2,1.68517,0.0761679,6305.51,48.1168,2.30238,3932.74,3.46719,28483.2,0.620506,0.0170933,4506.59,0.611298,3.64958,0.660589,0.0298864,3244.5,114.311,55.7153,2.66834,4078.6,49.8631,0.620893,0.0171034,4507.5,36.61,1.55891,0.0701162,0.806426,0.18772,
JK_21_G_Band-32,60,2.65185e+07,4726.55,1681.68,1092.11,2483.96,613.5,2029.39,2.65313e+07,21.105,1,2.65178e+07,-1.65421,1673.85,1084.91,2466.35,613.279,2027.63,2.65258e+07,0.836245,3893.11,74.3846,4374.77,4.84839,34104.9,1.96173,0.0879676,6936.84,59.0929,2.48431,4143.98,4.84839,34104.9,0.660713,0.0184057,4588.84,0.526559,3.90949,0.767367,0.0344389,3643.72,119.42,68.2807,2.87254,4288.34,43.1395,0.661279,0.018422,4590.08,39.764,1.34545,0.0591285,0.474556,0.466915,
JK_21_G_Band-33,60,2.68221e+07,4877.44,633.906,463.897,1008.94,108.889,583.03,2.68298e+07,20.9995,1,2.68214e+07,74.3314,625.832,455.913,991.226,108.91,580.527,2.68244e+07,1.1248,4733.44,113.642,4717.42,17477.7,98763.5,2.64246,0.173836,8185.84,90.1909,6.49633,4505.46,17477.7,98763.5,0.747853,0.0373431,4563.36,0.42405,9869.81,1.03139,0.0678727,4449.94,205.658,103.987,7.48919,4648.28,66.1278,0.748679,0.0373853,4564.95,58.7855,1.08571,0.070762,0.199372,0.0787605,
JK_21_G_Band-34,60,2.74786e+07,5069.59,1329.96,826.544,1872.77,574.316,1859.81,2.74905e+07,21.1056,1,2.7478e+07,101.406,1322.13,817.588,1855,574.354,1857.44,2.7485e+07,0.736288,3544.23,63.6925,4219.82,3.9292,29923.7,1.75832,0.0915932,6467.79,51.3877,2.9094,3999.29,3.9292,29923.7,0.631525,0.0214985,4507.95,0.594852,88.7346,0.684806,0.0357032,3321.53,133.978,59.1248,3.34966,4138.94,52.9206,0.63238,0.0215275,4506.92,45.7913,1.52622,0.0798922,0.176949,0.0925362,
JK_21_G_Band-35,60,2.80936e+07,5206.59,1209.84,758.795,1658.77,524.17,1826.8,2.81048e+07,21.1056,1,2.80928e+07,-26.646,1200.46,750.173,1640.9,523.921,1824.54,2.80988e+07,0.66647,3272.89,57.2847,4105.26,3.63315,29732,1.57823,0.0742767,6040.5,46.5953,2.50238,3882.75,3.63315,29732,0.625044,0.0196348,4496.69,0.656622,3.96876,0.613267,0.0288877,3057.58,111.19,53.4927,2.8747,4019.89,50.465,0.626055,0.0196662,4495.97,41.971,1.68828,0.0788572,0.820657,0.299419,
JK_21_G_Band-36,60,2.90903e+07,5109.38,1343.63,804.693,1806.84,627.951,1924.29,2.91019e+07,20.8935,1,2.90897e+07,-108.529,1334.09,796.769,1789.4,626.822,1921.96,2.90961e+07,0.697044,3389.92,57.1994,4100.08,3.19304,28297.2,1.65886,0.0806164,6228.66,46.3689,2.52818,3877.54,3.19304,28297.2,0.603991,0.0184989,4458.06,0.629505,3.49915,0.64315,0.0312865,3171.24,118.293,53.1163,2.89841,4012.48,49.9521,0.605133,0.0185331,4460.82,42.2874,1.62203,0.0811745,0.834958,0.115803,
