,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
GQ6_2_matrix
GQ6_2_matrix-105,0.947885,0.0514127,4292.04,170.342,89.7545,5.55089,4573.85,62.6279,0.71185,0.00858256,4750.91,16.5652,1.03336,0.0568352,0.435039,0.670834,
GQ6_2_matrix-106,0.984878,0.053645,4412.03,174.376,94.6722,5.88654,4626.34,62.725,0.723766,0.0103509,4763.33,19.1272,0.992469,0.0533224,0.428136,0.64943,
GQ6_2_matrix-107,0.563693,0.0308226,2877.6,126.231,40.9519,2.55042,3791.2,62.8712,0.548251,0.00827029,4372.31,22.4579,1.73457,0.0946559,0.31073,0.681691,
GQ6_2_matrix-108,0.777772,0.0419394,3704.21,151.137,68.3838,4.21745,4300.95,61.5568,0.661419,0.00826551,4644.55,18.0836,1.25179,0.0657527,0.343215,0.699978,
GQ6_2_matrix-109,1.04892,0.0659342,4587.21,202.583,103.542,7.4869,4693.38,69.5165,0.738015,0.00983047,4791.05,17.7677,0.965121,0.0569401,-0.202295,0.944845,
GQ6_2_matrix-110,1.11195,0.0620426,4815.03,195.211,110.264,6.99433,4776.1,65.1725,0.741687,0.00959067,4802.57,16.8399,0.885407,0.0517422,0.186225,0.839525,
GQ6_2_mrt
GQ6_2_mrt-56,10.7507,0.815707,15604.8,433.174,1335.53,111.793,7257.74,84.0467,0.928656,0.0182581,4923.34,25.8828,0.0984189,0.00720045,0.0925726,0.949909,
GQ6_2_mrt-57,8.82521,0.739842,14465.1,510.697,1099.18,98.8808,7059.66,97.9656,0.936522,0.0187458,4908.69,26.567,0.126154,0.0111058,0.0914291,0.965486,
GQ6_2_mrt-58,5.94285,0.395785,12409.1,384.776,735.719,54.0982,6677.2,76.4202,0.9154,0.0192253,4883.95,28.6537,0.171107,0.0119216,0.262233,0.885923,
GQ6_2_mrt-59,4.71652,0.323859,11152.3,351.236,574.364,42.6923,6441.36,77.0041,0.909651,0.0180463,4888.65,28.8878,0.219187,0.0149736,0.239663,0.904486,
GQ6_2_mrt-60,5.61186,0.511568,11772.7,449.281,655.163,61.6235,6519.28,92.8748,0.894715,0.0266667,4795.33,49.2927,0.204664,0.0164854,0.194134,0.940854,
GQ6_2_mrt-61,3.84049,0.26642,10146.2,374.553,470.694,35.4975,6237.74,79.1854,0.907519,0.0213203,4875.79,35.1505,0.271496,0.0199266,0.173587,0.890732,
GQ6_2_mrt-62,3.46017,0.227188,9573.96,333.102,420.739,30.9745,6112.66,78.3448,0.893312,0.0182394,4878.99,24.0183,0.297199,0.0197011,0.13145,0.887411,
GQ6_2_mrt-63,3.51672,0.251178,9554.9,355.99,418.963,31.6359,6098.45,80.9955,0.886281,0.0191363,4879.56,26.0004,0.301687,0.0209319,0.269872,0.90166,
GQ6_2_mrt-64,6.95794,0.550776,13148.9,460.787,858.845,73.0711,6806.04,85.7745,0.903256,0.02344,4853.64,30.6149,0.158439,0.013019,0.316547,0.932628,
GQ6_2_mrt-65,5.73016,0.646576,11664.8,551.872,705.099,83.6258,6509.29,103.023,0.901669,0.0296576,4814.91,38.6112,0.220712,0.0205456,0.223392,0.947221,
GQ6_2_mrt-66,10.1396,0.95136,15097.7,589.636,1269.97,125.461,7176.56,107.796,0.915182,0.0192667,4884.47,26.4985,0.114416,0.0110775,0.0279391,0.96835,
GQ6_2_mrt-67,14.4178,1.94369,16453.1,628.701,1888.65,275.266,7426.95,113.688,0.947998,0.0277016,4847.38,38.4335,0.0983902,0.0106132,0.04004,0.976225,
GQ6_2_mrt-68,5.8577,0.387916,12273.1,362.178,740.536,54.3046,6694.24,78.2056,0.925615,0.0184997,4900.58,24.7915,0.177518,0.0119842,0.236286,0.903124,
GQ6_2_mrt-69,13.114,1.26527,16573.1,520.941,1671.41,171.014,7430.7,93.2104,0.933214,0.0250315,4846.42,38.3444,0.0916817,0.00724828,0.163322,0.958684,
GQ6_2_mrt-70,5.81048,0.433241,12144.3,392.21,719.56,58.6312,6631.8,77.6055,0.912918,0.0217763,4868.24,32.3838,0.194989,0.0139848,0.277135,0.963979,
GQ6_2_mrt-71,6.01829,1.20289,10938.8,572.417,737.7,149.544,6384.24,127.245,0.916143,0.0469331,4671.75,72.7403,0.282753,0.0285723,0.191409,0.987839,
GQ6_2_mrt-72,5.8227,0.369206,12295.2,357.531,747.166,53.9955,6694.26,75.4946,0.944122,0.0204407,4880.71,38.759,0.19025,0.0122987,0.106802,0.852359,
GQ6_2_mrt-73,5.72994,0.394053,12155.6,388.007,688.92,52.4131,6610.26,76.5424,0.886998,0.0200817,4868.14,27.9787,0.19733,0.0139021,0.178541,0.91618,
GQ6_2_mrt-74,18.8069,2.82336,18122.6,620.446,2388.05,380.91,7701.82,103.121,0.943217,0.0267378,4832.57,44.0425,0.0778164,0.00738044,0.300317,0.996159,
GQ6_2_mrt-75,8.41782,0.561452,14301.7,379.63,1048.69,76.255,7038.26,72.4405,0.917439,0.0172572,4904.67,26.8011,0.135319,0.00901894,0.249323,0.886441,
GQ6_2_mrt-76,3.2048,0.422981,8586.55,596.061,373.678,55.2798,5772.74,150.612,0.870517,0.058772,4570.44,78.6971,0.476498,0.0537809,0.0910144,0.890133,
GQ6_2_mrt-77,9.25778,0.695695,14835.3,459.34,1157.06,95.3694,7111.09,85.5424,0.913642,0.0219782,4884.95,25.7629,0.12571,0.00974817,0.173833,0.924165,
