,Fe57_mean,Fe57_2SE,Pb204_mean,Pb204_2SE,Pb206_mean,Pb206_2SE,Pb207_mean,Pb207_2SE,Pb208_mean,Pb208_2SE,Th232_mean,Th232_2SE,U238_mean,U238_2SE,PbTotal_mean,PbTotal_2SE,TotalBeam_mean,TotalBeam_2SE,BeamSeconds_mean,BeamSeconds_2SE,Mask_mean,Mask_2SE,Fe57_CPS_mean,Fe57_CPS_2SE,Pb204_CPS_mean,Pb204_CPS_2SE,Pb206_CPS_mean,Pb206_CPS_2SE,Pb207_CPS_mean,Pb207_CPS_2SE,Pb208_CPS_mean,Pb208_CPS_2SE,Th232_CPS_mean,Th232_CPS_2SE,U238_CPS_mean,U238_CPS_2SE,PbTotal_CPS_mean,PbTotal_CPS_2SE,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC U238/Pb206_mean,DC U238/Pb206_2SE,Raw U/Th_mean,Raw U/Th_2SE,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_prop2SE,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
GQ5_5
NF10_4-33,8.19537e+06,547121,531.743,26.2985,892.239,71.68,547.325,41.7592,1485.36,119.924,2772.03,287.327,960.181,108.417,3462.24,228.191,8.20606e+06,547884,17.0641,1.68873,1,0,8.78739e+06,471491,35.8066,27.3908,954.694,66.6757,585.45,38.0257,1576.1,107.986,2975.88,286.113,1033.55,108.525,3172.54,208.937,8.79781e+06,472200,1.03233,0.0496791,4524.1,157.673,90.3213,4.922,4529.39,56.5447,0.611625,0.0454596,9444.76,566.645,0.869617,0.0398482,0.0489904,3999.32,137.086,76.2977,3.96784,4.6683,4365.72,53.3212,1.38966,0.148534,16624.2,1237.16,0.641002,0.0262625,0.0263098,4496.88,50.2191,1.23187,0.0563353,0.356359,0.0193741,0.924843,0.0423819,0.0521053,4184.09,141.544,174.018,83.1303,4.32322,5.08642,4451.61,53.3859,62.8104,0.651708,0.0267011,0.0267492,4517.12,49.9562,50.0462,1.14917,0.0525526,0.0646095,0.682404,0.280423,
NF10_4-34,7.94094e+06,564672,513.151,24.3046,736.456,51.1127,381.404,28.5039,1135.96,100.955,1637.79,119.761,996.713,70.7137,2770.83,172.678,7.94916e+06,565053,17.0641,1.68873,1,0,8.55297e+06,487283,5.58614,25.0483,789.028,43.6941,408.226,25.334,1193.77,89.198,1765.49,104.714,1069.7,58.0486,2425.73,155.281,8.5608e+06,487547,0.752532,0.0314182,3580.43,114.233,53.6747,2.59664,4026.95,49.8582,0.749256,0.0766816,10776.6,860.517,0.638811,0.0306149,0.0370883,3159.78,120.946,45.7198,2.48978,2.8933,3864.96,55.6167,1.48522,0.121964,17815.4,974.473,0.522139,0.02024,0.0202807,4251.25,55.0894,1.67916,0.0799334,0.649118,0.0453327,0.680395,0.0325983,0.039491,3318.77,125.526,152.068,49.7642,2.71151,3.15096,3949.06,55.7437,64.778,0.530867,0.0205783,0.0206197,4275.68,55.0132,55.1239,1.5656,0.074529,0.0902877,0.721908,0.316931,
NF10_4-35,8.37291e+06,566596,524.691,26.7879,844.797,57.6405,455.245,38.9966,1242.93,102.647,2393.85,159.074,995.533,82.0641,3048.72,186.981,8.38263e+06,567099,17.278,1.69334,1,0,9.01318e+06,476619,10.9683,27.6466,904.509,49.0906,483.622,35.2607,1330.26,95.6332,2573.91,133.739,1058.46,75.9193,2715.17,165.038,9.02227e+06,477010,0.902048,0.0526486,4103.69,177.828,65.8279,4.85164,4202.62,76.2449,0.529749,0.0315017,8491.59,421.614,0.768639,0.0507379,0.0566466,3627.75,194.134,56.5141,4.621,4.96715,4039.11,85.8457,1.19551,0.113574,15323,991.871,0.532199,0.0232707,0.0233075,4266.34,64.2082,1.50502,0.13981,0.43467,0.0450238,0.818696,0.0540547,0.0603497,3802,201.224,224.657,61.3567,5.02125,5.39738,4120.7,86.067,92.5141,0.541103,0.0236599,0.0236974,4285.5,63.7029,63.8036,1.40461,0.130513,0.145712,0.857829,-0.00430923,
NF10_4-36,8.29208e+06,597675,508.075,23.2896,923.437,69.3735,503.003,38.0272,1405.86,107.394,1382.56,113.006,1295.73,117.033,3343.85,205.032,8.30148e+06,598231,17.0522,1.69166,1,0,8.96265e+06,521632,-0.456458,24.7928,995.809,61.0388,537.926,32.5059,1499.11,93.3339,1477.24,100.829,1384.87,109.887,3052.27,176.504,8.97123e+06,522081,0.772949,0.0351358,3648.58,123.608,58.8406,3.10841,4114.2,52.0433,1.07616,0.0766991,14411.6,713.772,0.649886,0.0265747,0.034056,3213,104.861,49.494,2.29401,2.7943,3950.55,47.4368,2.47465,0.268242,23519.7,1444.95,0.556065,0.0239663,0.0240053,4313.68,62.7876,1.59885,0.0649467,0.9268,0.0545153,0.690958,0.0282421,0.0361927,3369.82,108.672,139.265,53.4887,2.47643,3.0165,4027.81,47.4853,57.841,0.565378,0.0243677,0.0244074,4333.1,62.3581,62.4596,1.49577,0.0607449,0.0778457,0.493425,0.473074,
NF10_4-37,8.3509e+06,598703,530.46,26.7427,751.202,59.774,447.106,36.4411,1213.06,99.3413,1563.34,122.836,607.71,46.6785,2925.77,186.255,8.35904e+06,599204,17.0522,1.69166,1,0,9.03394e+06,517397,44.147,28.0995,795.049,50.608,480.675,33.7206,1303.45,92.1762,1694.49,110.325,660.389,41.4916,2594.08,159.404,9.04156e+06,517817,1.25272,0.0546964,5187.6,158.141,102.065,4.84179,4671.64,49.6709,0.805109,0.0493813,11820.1,572.873,1.07142,0.0514805,0.0623146,4624.91,158.65,88.0055,4.69204,5.48302,4520.74,54.3307,1.89745,0.223823,20477.7,1477.4,0.604714,0.0268288,0.02687,4425.68,54.3368,1.00815,0.0496577,0.408512,0.0229648,1.13506,0.0545901,0.0660785,4815.87,163.285,197.648,94.5521,5.04853,5.8996,4592.58,54.457,63.6373,0.614851,0.0272785,0.0273204,4436.49,53.2998,53.3817,0.947301,0.0467254,0.0565587,0.6756,0.477282,
NF10_4-38,8.17536e+06,594342,505.78,26.5781,570.661,47.905,323.83,28.7784,902.656,88.1722,1466.56,136.304,618.842,54.0864,2306.57,161.321,8.18229e+06,594828,17.0522,1.69166,1,0,8.82475e+06,525874,32.2673,27.4322,612.737,44.7831,347.597,27.3372,973.326,85.0411,1580.72,132.921,660.353,47.9539,1947.68,143.92,8.83121e+06,526319,0.926036,0.041632,4172.44,138.701,71.826,4.14342,4318.71,59.1977,0.650874,0.0525966,9868.22,649.416,0.785194,0.0361388,0.0443639,3689.05,130.626,61.083,3.49313,4.00989,4155.6,59.4644,1.44884,0.185618,16927.4,1336.92,0.58141,0.032441,0.0324725,4254.79,76.7857,1.34421,0.0631798,0.449378,0.0254971,0.827046,0.038099,0.0467702,3835.54,134.65,165.295,65.1111,3.7248,4.27584,4219.25,59.562,68.3734,0.591166,0.0329854,0.0330174,4279.34,76.6744,76.7489,1.27082,0.059798,0.0734078,0.529897,0.356891,
NF10_4-39,8.4489e+06,560846,502.607,24.0677,821.86,64.0466,508.614,42.1802,1421.53,125.957,1686.73,171.876,696.151,45.4748,3277.04,228.646,8.45829e+06,561455,17.1622,1.68815,1,0,9.08793e+06,468809,1.84758,25.3669,872.994,56.2331,539.207,38.1863,1526.58,118.583,1820.5,168.918,747.734,37.3352,2976.61,211.378,9.09691e+06,469343,1.17592,0.0524579,4964.33,157.711,99.2478,4.915,4657.59,51.2931,0.874957,0.0709667,12210.7,746.459,1.00597,0.0527037,0.0621653,4430.69,171.338,85.2721,4.82821,5.55587,4486.42,60.7218,1.90047,0.198413,20531.2,1369.9,0.620001,0.0213359,0.0213904,4508.38,48.9349,1.08632,0.0591078,0.453586,0.0343559,1.05133,0.0552451,0.0651628,4571.34,175.609,207.135,90.0496,5.11394,5.88466,4540.78,60.942,70.1266,0.630417,0.0216943,0.0217497,4525.42,48.5382,48.6621,1.03579,0.0565353,0.0666848,0.824431,0.103216,
NF10_4-40,8.17267e+06,559378,528.858,24.0295,822.893,51.3207,506.849,34.7611,1308.46,94.8119,1464.84,96.8039,678.61,42.9459,3179.19,169.115,8.18117e+06,559761,17.0522,1.69166,1,0,8.83245e+06,473468,4.1264,25.3182,875.295,37.2959,541.283,28.0111,1406.14,82.9626,1569.66,78.4044,734.504,31.7852,2853.95,137.094,8.84046e+06,473724,1.22317,0.0470419,5117.45,136.897,102.738,4.35365,4692.14,44.1416,0.970541,0.0767234,13388.5,786.26,1.04401,0.0442708,0.0559508,4556.44,136.942,88.9707,4.37402,5.23047,4527.27,48.6919,2.09132,0.211361,21642.8,1222.42,0.617479,0.0219847,0.0220371,4479.67,47.2588,1.0012,0.0397264,0.503195,0.0332891,1.0797,0.0459085,0.0580206,4666.02,139.574,176.398,92.8905,4.57918,5.47581,4570.29,48.8648,58.4327,0.627863,0.0223544,0.0224077,4503.94,47.1969,47.3094,0.964554,0.038381,0.0485071,0.710838,0.320634,
NF10_4-41,7.57972e+06,525132,498.728,26.1068,547.238,52.775,276.735,25.6995,792.291,80.2058,1064.12,137.406,600.946,59.4982,2113.93,152.978,7.58579e+06,525566,17.0522,1.69166,1,0,8.19482e+06,446480,-27.1127,27.645,588.805,51.3564,296.647,24.7588,851.355,78.0704,1157.27,140.153,640.907,62.1702,1707.91,146.297,8.20018e+06,446889,0.942314,0.0507716,4202.4,167.394,70.7142,5.12026,4249.83,77.1048,0.864232,0.0813583,11968.6,824.788,0.793157,0.04393,0.0510439,3716.6,159.319,59.8677,4.32747,4.7383,4085.99,75.5621,2.12847,0.301581,20587.9,1734.75,0.542101,0.0305201,0.0305492,4221.5,75.3845,1.39105,0.0842868,0.631575,0.044814,0.809774,0.0449479,0.0522266,3774.54,161.456,187.602,61.6799,4.46165,4.88523,4115.66,75.5986,82.7756,0.551229,0.031034,0.0310636,4227.62,73.9862,74.0568,1.35768,0.0822754,0.0955989,0.614199,0.191002,
NF10_4-42,8.01525e+06,524176,517.319,25.8314,1175.81,82.6776,685.812,51.4775,1843.11,151.401,1078.12,88.2675,899.139,59.3775,4222.05,276.364,8.02569e+06,524823,17.0522,1.69166,1,0,8.64919e+06,435785,31.1552,27.1878,1262.61,73.1233,738.89,45.7306,1993.14,140.089,1163.2,82.4244,969.95,50.0072,4019.77,246.63,8.65935e+06,436338,1.31685,0.0469122,5369.19,131.16,106.154,4.51656,4714.22,43.0315,1.78773,0.120156,20448.4,862.252,1.12221,0.0463918,0.0592007,4795.31,142.422,90.8478,4.33681,5.23302,4549.32,48.4675,4.23701,0.483726,31286,1600.6,0.591535,0.0192741,0.019329,4450.16,46.4784,0.952999,0.04416,0.905271,0.0554559,1.09466,0.0450887,0.0575377,4712.77,140.188,178.894,90.0356,4.28526,5.17082,4540.56,48.3135,58.2975,0.601576,0.0196014,0.0196572,4470.74,46.0761,46.2073,0.973227,0.0448871,0.0572804,0.742059,0.279514,
NF10_4-43,7.93475e+06,488073,512.511,24.5504,695.612,41.5745,380.113,25.1139,1098.77,85.3225,877.6,61.7831,819.901,45.9312,2697.32,143.038,7.94185e+06,488376,17.0641,1.68873,1,0,8.52279e+06,390830,20.3212,25.2175,739.562,31.1597,402.824,20.3714,1182.05,76.9199,940.086,54.8607,867.935,30.8697,2325.87,109.782,8.52931e+06,391025,0.864245,0.0355842,3989.66,125.576,64.936,3.32263,4211.81,53.8051,1.35162,0.102195,16638.6,848.026,0.742669,0.0365979,0.0439519,3531.02,132.788,55.6914,3.18342,3.65475,4048.3,59.0866,3.09827,0.357937,26580.9,1655.03,0.553684,0.026219,0.0262544,4272.17,63.3405,1.44944,0.0712634,1.01373,0.0614332,0.733588,0.0359824,0.0432127,3498.47,131.264,157.64,55.901,3.18495,3.65651,4052.37,58.9014,67.6221,0.563096,0.0266647,0.0267006,4285.89,62.2566,62.3405,1.45954,0.0713987,0.0857455,0.648045,0.299774,
NF10_4-44,8.14528e+06,474619,526.463,24.9066,739.566,45.1077,440.593,32.9406,1219.15,93.1438,1418.16,110.712,608.791,40.2091,2927.09,165.216,8.1533e+06,475054,17.1622,1.68815,1,0,8.75297e+06,359167,32.504,25.4976,793.202,35.2361,472.827,28.8878,1315.12,82.2124,1526.78,99.9311,656.002,32.9515,2588.41,127.126,8.76048e+06,359498,1.26893,0.0539185,5220.64,146.998,102.098,5.10999,4673.14,53.4085,0.968002,0.0680054,13278.8,671.986,1.07026,0.0468865,0.0585536,4651.66,145.475,87.6905,4.73359,5.51341,4508.34,57.1956,2.13575,0.245839,22130.3,1479.26,0.598681,0.0282733,0.0283117,4380.48,64.6355,0.976889,0.0403792,0.473658,0.0321627,1.07484,0.0469291,0.0586068,4666.25,145.345,181.513,89.4735,4.81664,5.61013,4528.8,57.029,66.424,0.608872,0.0287546,0.0287936,4400.46,64.3421,64.4294,0.96679,0.0397593,0.0496528,0.582375,0.264071,
NF10_4-45,8.17975e+06,485541,495.494,25.8784,698.301,44.6744,361.726,25.0051,1031.02,81.0536,1122.64,86.3846,752.298,111.635,2603.96,143.892,8.1872e+06,485962,17.0522,1.69166,1,0,8.85017e+06,357270,5.79147,27.0932,754.174,34.9188,389.325,20.9162,1107.76,68.9761,1213.59,77.3433,816.292,115.981,2282.56,116.992,8.85714e+06,357602,1.17184,0.0736384,4892.47,222.229,82.8377,5.61858,4443.84,82.2793,0.996547,0.0752991,13764.2,781.714,0.978388,0.0606092,0.0685677,4363.79,208.52,70.1842,4.84609,5.34821,4278.15,80.9201,2.20186,0.254736,22161.8,1453.92,0.527453,0.0230682,0.0231047,4254.3,57.2791,1.2336,0.140918,0.727835,0.0989718,1.00197,0.0619807,0.0701193,4438.48,211.054,238.767,72.997,5.03178,5.55313,4317.51,80.9899,89.3815,0.536444,0.0234614,0.0234985,4268.18,55.8998,55.9881,1.1979,0.13731,0.15534,0.789925,-0.113028,
NF10_4-46,7.87491e+06,590085,498.407,24.6645,534.846,62.9901,311.545,41.2603,946.503,110.443,864.554,78.976,353.212,41.4947,2279.76,207.044,7.88076e+06,590561,17.0522,1.69166,1,0,8.53942e+06,514523,29.7231,26.0363,578.36,63.2416,336.084,42.1763,1024.44,111.502,935.6,74.9704,381.114,41.9317,1953.33,207.122,8.54472e+06,514991,1.66322,0.113887,6122.71,260.42,125.536,7.41453,4853.59,60.0033,1.16484,0.126131,14693.9,1129.51,1.40364,0.0905831,0.101594,5496.68,237.974,106.023,6.17646,7.05903,4689.37,61.8793,2.42544,0.282198,23202.7,1553.18,0.582695,0.03554,0.0355689,4263.79,84.9,0.781922,0.0495735,0.421906,0.0427183,1.46904,0.0949417,0.106482,5663.48,242.692,272.191,112.63,6.5509,7.48697,4750.31,61.7874,70.6163,0.592643,0.0361468,0.0361762,4288.75,84.7721,84.8411,0.742984,0.0470208,0.0527362,0.647094,0.668146,
NF10_4-47,8.24175e+06,591056,534.948,25.8757,836.786,66.9141,500.979,42.4989,1446.86,127.372,1845.67,129.063,553.348,46.8069,3361.06,243.407,8.25087e+06,591622,17.0522,1.69166,1,0,8.93203e+06,504125,82.2493,26.5863,904.229,60.4937,536.776,37.5161,1570.54,119.126,1983.3,104.286,594.859,41.4929,3079.58,206.85,8.94091e+06,504590,1.55457,0.0663084,5996.34,157.724,129.796,6.54659,4924.7,50.7937,0.83656,0.0627793,11879.3,678.8,1.32736,0.0595558,0.0737503,5396.74,156.632,110.432,5.57805,6.61721,4760.31,51.2698,1.7332,0.152015,19396.6,991.608,0.610011,0.0247193,0.0247649,4447.46,50.8086,0.796601,0.0351321,0.314136,0.0197764,1.41126,0.0612467,0.0758443,5645.92,160.705,199.008,119.874,6.04453,7.17059,4843.04,51.2181,60.7597,0.620441,0.025142,0.0251883,4472.17,50.7413,50.8348,0.74126,0.0325677,0.0403299,0.653875,0.286034,
NF10_4-48,8.2202e+06,558992,529.819,24.987,1093.01,94.8192,565.607,47.7235,1637.32,154.58,3665.59,470.357,1347.41,137.028,3831.85,291.516,8.23288e+06,560056,17.278,1.69334,1,0,8.84826e+06,471967,67.9513,25.7968,1175.97,88.7349,608.298,43.9815,1742.73,144.305,3953.82,479.111,1455.9,133.215,3583.31,264.831,8.8609e+06,472998,0.862309,0.0340478,3989.93,118.494,64.9803,3.39933,4208.03,50.7195,0.562008,0.0472801,8712.08,572.518,0.730624,0.026051,0.035383,3537.88,100.894,54.588,2.49819,3.05573,4044.05,45.0254,1.48647,0.202856,16521.7,1534.18,0.541056,0.0230708,0.0231092,4291.88,54.7007,1.40787,0.0508554,0.434724,0.0248858,0.799369,0.028622,0.0388749,3787.69,106.456,144.591,60.5586,2.78361,3.40485,4147.24,45.273,55.3769,0.55032,0.023466,0.023505,4306.24,53.3585,53.4472,1.28499,0.0465098,0.0631705,0.502629,0.324982,
NF10_4-49,7.54759e+06,584011,519.562,26.2904,935.513,82.0007,487.085,48.0572,1446.9,138.333,2810.67,265.187,1113.01,104.366,3389.06,258.047,7.55829e+06,584780,17.278,1.69334,1,0,8.12265e+06,528750,48.8145,27.6819,1004.91,77.4236,521.614,46.9744,1556.57,132.904,3036.4,252.996,1200.57,99.9881,3130.44,243.687,8.13314e+06,529443,0.87683,0.0377118,4032.63,129.51,61.6277,3.5024,4165.61,57.2253,0.554838,0.0382952,8717.61,472.27,0.739428,0.0304566,0.0389205,3533.93,111.099,52.2779,2.95381,3.40074,4010.47,56.6778,1.4113,0.1912,16006.6,1343.93,0.517176,0.0226929,0.0227286,4218.15,69.1074,1.41584,0.0610159,0.40525,0.0178562,0.825593,0.0340038,0.0434535,3841.11,118.087,150.903,59.1196,3.33713,3.84205,4133,56.7085,65.2888,0.526045,0.023082,0.0231183,4243.28,69.0008,69.1092,1.26973,0.0546078,0.0697833,0.610489,0.17216,
NF10_4-50,7.63777e+06,530861,527.431,24.9751,1299.97,85.7223,658.78,45.0659,1954.02,135.983,3617.26,247.531,1660.78,127.961,4445.47,259.675,7.65197e+06,531619,17.0522,1.69166,1,0,8.26843e+06,447408,57.0427,25.8904,1393.81,67.0386,709.255,37.9877,2093.25,110.724,3876.5,205.358,1763.44,105.565,4282.91,208.555,8.28275e+06,447959,0.793469,0.0268458,3753.54,97.9473,55.6008,2.31286,4067.25,42.4984,0.561089,0.0288634,8927.97,376.943,0.670903,0.0243321,0.0327942,3285.98,91.3516,47.4681,2.1891,2.67088,3903.96,46.0097,1.25745,0.105954,15960.6,921.215,0.50769,0.0175105,0.017555,4235.25,51.2616,1.5452,0.0539355,0.472133,0.0181618,0.762306,0.0275379,0.0371149,3625.81,97.9047,131.953,54.581,2.50755,3.05942,4043.06,45.9842,56.1046,0.516409,0.0178112,0.0178564,4260.37,51.1871,51.3172,1.36584,0.0475465,0.0640819,0.666003,0.213294,
NF10_4-51,8.4855e+06,590403,521.439,22.9752,1063.6,72.7546,644.174,44.7475,1751.76,140.117,2083.43,147.036,782.479,52.4063,3990.12,246.991,8.49634e+06,591014,17.1622,1.68815,1,0,9.15122e+06,497850,37.6878,23.6796,1136.4,58.2143,692.269,37.5214,1882.57,127.069,2227.73,120.824,843.392,42.7717,3765.81,210.256,9.16188e+06,498325,1.37858,0.0508787,5551,138.027,115.474,4.81928,4806.34,42.3585,0.879293,0.0608676,12401.1,623.398,1.17105,0.047749,0.0612598,4959.26,143.426,99.0625,4.57303,5.57767,4640.24,45.6205,1.99211,0.225598,20497.9,1148.07,0.621275,0.0216974,0.0217512,4482.85,46.9393,0.89698,0.0364163,0.388268,0.0196831,1.34847,0.0548251,0.0703381,5459.56,152.207,195.275,115.374,5.31581,6.48362,4793.63,45.5872,55.602,0.631961,0.0220707,0.0221254,4503.75,46.5722,46.6876,0.784521,0.0317642,0.040752,0.699628,0.25624,
NF10_4-52,8.1791e+06,580623,521.624,24.5519,890.955,62.5954,550.761,39.6423,1589.22,123.066,1539.86,117.511,572.323,43.2168,3555.63,217.59,8.18832e+06,581152,17.278,1.69334,1,0,8.81866e+06,496590,32.6313,26.7546,956.745,53.6668,585.758,33.2555,1707.54,110.04,1653.49,107.145,615.918,38.5731,3287.08,185.693,8.8275e+06,497016,1.60545,0.0709118,6134.96,171.006,136.158,5.87545,4967.67,45.1439,1.10456,0.0782741,14664.7,734.498,1.36134,0.0632236,0.0773794,5500.72,168.789,115.958,5.38035,6.5514,4801.4,48.3289,2.60732,0.32265,24271.4,1628.68,0.627489,0.0230514,0.0231031,4494.34,45.5433,0.783048,0.0364982,0.390448,0.0219201,1.58001,0.0733159,0.0897313,6064.2,179.085,219.183,136.043,6.30709,7.67986,4962.28,48.3557,58.8805,0.638298,0.0234486,0.0235011,4507.78,44.6045,44.7044,0.680907,0.0317118,0.038812,0.730787,0.457584,
NF10_4-53,9.01833e+06,635797,518.721,23.697,844.979,62.9059,530.55,40.2457,1466.99,118.363,1746.61,155.981,637.439,50.8181,3376.29,212.516,9.02747e+06,636373,17.1622,1.68815,1,0,9.71427e+06,546135,22.0932,24.4864,906.72,55.8727,568.31,35.9077,1573.5,108.854,1883.97,147.311,688.258,45.6439,3086.47,188.53,9.72301e+06,546632,1.36285,0.0533782,5504.56,149.175,118.057,4.56723,4831.47,39.9389,0.924356,0.06962,12809.2,679.987,1.15984,0.0467639,0.0602628,4910.72,138.981,100.701,3.88902,5.06579,4671.51,38.3638,2.20777,0.307327,21241.3,1526.15,0.642371,0.0250146,0.0250645,4510.19,49.2361,0.904901,0.0372308,0.38109,0.0198867,1.34748,0.0543454,0.0700328,5440.07,148.754,191.693,118.216,4.56578,5.94733,4832.78,38.4334,50.0629,0.653454,0.0254462,0.025497,4523.71,48.5803,48.6771,0.786634,0.0323783,0.0417246,0.578731,0.576069,
NF10_4-54,8.17565e+06,560931,522.447,24.7294,766.8,48.708,405.349,27.6029,1148.78,83.5689,2332.38,286.252,1000.06,106.086,2829.24,142.552,8.18468e+06,561528,17.0641,1.68873,1,0,8.80493e+06,474254,26.9392,25.9433,816.817,38.1036,429.802,22.611,1218.65,71.2336,2516.27,289.615,1078.92,104.667,2496.31,114.505,8.81356e+06,474788,0.891641,0.0500458,4029.56,169.288,64.6517,4.23164,4169.44,68.6819,0.618686,0.0580031,9430.5,697.096,0.743599,0.0363791,0.0437867,3534.77,132.609,53.661,3.11665,3.56451,4007.23,61.3802,1.64929,0.273541,17311.6,1808.03,0.531422,0.0249206,0.0249549,4247.5,71.3098,1.43693,0.0726423,0.476578,0.025416,0.857353,0.0418299,0.0503475,3953.54,147.826,177.927,62.5125,3.62399,4.14477,4159.54,61.435,70.2633,0.540605,0.0253513,0.0253861,4267.48,70.9216,71.0192,1.25663,0.0633369,0.0762339,0.630881,0.226443,
NF10_4-55,8.14463e+06,537546,522.127,23.3167,676.256,44.3063,390.544,31.148,1037.06,81.3881,696.18,70.9868,702.716,53.6995,2620.65,144.687,8.15135e+06,537823,17.0522,1.69166,1,0,8.81463e+06,437594,26.1163,24.6715,721.934,35.3451,415.845,27.3245,1116.26,73.4213,753.742,69.668,759.456,48.2063,2283.69,123.185,8.8208e+06,437763,1.03779,0.0576685,4524.47,182.163,82.1219,5.39982,4408.74,69.1276,1.95316,0.219012,20451.8,1329.9,0.86562,0.0447459,0.0529804,3997.47,160.033,68.6978,4.35613,4.88673,4244.25,66.377,4.27534,0.488054,31473.2,1864.23,0.577847,0.0280633,0.0280993,4348.57,70.5574,1.2428,0.0651176,1.26593,0.123769,0.981172,0.0506238,0.0599399,4378.69,170.312,201.654,78.7068,4.99198,5.60002,4380.36,66.4638,74.5594,0.587849,0.028549,0.0285856,4368.86,70.3091,70.3992,1.10267,0.0577051,0.0683244,0.613036,0.163152,
NF10_4-56,7.99602e+06,519011,492.638,25.1853,464.403,30.9866,253.292,18.0385,725.186,59.7116,485.818,41.8312,449.24,30.0269,1936.41,100.404,8.0009e+06,519225,17.0641,1.68873,1,0,8.60909e+06,423090,-10.0222,26.63,497.202,25.8082,268.608,16.0875,770.658,56.0284,521.032,39.8984,482.999,23.5532,1526.46,87.2235,8.6132e+06,423247,1.08694,0.0556901,4663.98,167.069,84.3457,5.62746,4450.75,62.7377,1.76461,0.209593,18875.6,1330.58,0.928041,0.0519474,0.0601955,4153.34,166.609,70.4439,4.51673,5.05545,4297.28,63.9265,3.89843,0.536591,28820,1923.41,0.566019,0.0315767,0.0316074,4277.56,73.7162,1.16036,0.0639678,1.06769,0.102381,1.02506,0.0577753,0.0669488,4460.48,176.204,204.182,78.6679,5.06514,5.66927,4407.33,64.3112,71.9816,0.575831,0.032124,0.0321553,4308.69,70.0464,70.1145,1.05416,0.0584373,0.0677159,0.750519,0.412383,
NF9_4
NF9_4-1,9.5878e+06,583653,612.353,28.6037,605.822,36.4837,402.295,26.808,952.946,78.4168,894.135,130.808,500.269,32.4832,2594.81,135.271,9.5947e+06,583820,17.0522,1.69166,1,0,1.03264e+07,467107,54.201,30.1499,638.001,26.41,427.837,20.591,1023.97,72.4372,806.955,106.86,528.645,28.2846,2145.97,102.32,1.03325e+07,467181,1.26305,0.0740272,5217.24,221.368,120.344,8.90363,4815.63,76.7801,1.66215,0.192087,17990.7,1298.95,1.08656,0.0714531,0.0798342,4617.99,208.721,105.387,9.11226,9.72495,4649.81,84.068,3.7453,0.610885,27280.7,1922.39,0.697282,0.0337168,0.0337604,4511.09,59.4597,1.01648,0.0683372,0.800553,0.0859852,1.20513,0.0792528,0.0885488,4961.82,219.094,244.792,116.588,10.0836,10.7616,4751.18,84.1817,89.8419,0.708352,0.0342519,0.0342962,4525.25,59.1992,59.2758,0.92636,0.0622679,0.0695716,0.872196,0.100219,
