tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	volume
This study	Hmt	0.0	315.0	-14.3	9.2	1	7	0.0	jk.37a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 13:01:41	u	Ironstone	957.0	943.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.37a	pmagpy-4.2.109: demag_gui	jk.37a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.37a		jk.37a	
This study	Mgt	28.2	3.5	-57.8	3.1	2	11	100.0	jk.3a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:05:50	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.3a	pmagpy-4.2.109: demag_gui	jk.3a	
This study	Hmt	0.0	357.6	33.1	3.0	2	5	100.0	jk.3a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:05:50	u	Ironstone	951.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.3a	pmagpy-4.2.109: demag_gui	jk.3a	
This study	Mgt	28.2	10.1	-39.7	3.1	2	11	0.0	jk.3a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:05:50	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.3a	pmagpy-4.2.109: demag_gui	jk.3a	
This study	Hmt	0.0	348.9	49.5	3.0	2	5	0.0	jk.3a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:05:50	u	Ironstone	951.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.3a	pmagpy-4.2.109: demag_gui	jk.3a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.3a		jk.3a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.4a		jk.4a	
This study	Mgt	27.4	54.4	-31.9	4.7	2	11	0.0	jk.4a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-19 15:30:51	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.4a	pmagpy-4.2.109: demag_gui	jk.4a	
This study	Hmt	0.0	0.6	42.5	4.1	2	7	0.0	jk.4a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-19 15:30:51	u	Ironstone	945.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.4a	pmagpy-4.2.109: demag_gui	jk.4a	
This study	Mgt	27.4	92.5	-56.3	4.7	2	11	100.0	jk.4a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-19 15:30:51	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.4a	pmagpy-4.2.109: demag_gui	jk.4a	
This study	Hmt	0.0	4.3	0.3	4.1	2	7	100.0	jk.4a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-19 15:30:51	u	Ironstone	945.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.4a	pmagpy-4.2.109: demag_gui	jk.4a	
This study	Hmt	6.3	347.3	41.2	12.0	2	8	100.0	jk.5a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 12:01:37	u	Ironstone	953.0	903.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.5a	pmagpy-4.2.109: demag_gui	jk.5a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.5a		jk.5a	
This study	Hmt	6.3	346.6	50.2	12.0	2	8	0.0	jk.5a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 12:01:37	u	Ironstone	953.0	903.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.5a	pmagpy-4.2.109: demag_gui	jk.5a	
This study	Mgt	0.0	330.0	46.8	3.9	2	1	0.0	jk.5a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 12:01:37	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.5a	pmagpy-4.2.109: demag_gui	jk.5a	
This study	Mgt	0.0	332.9	38.4	3.9	2	1	100.0	jk.5a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 12:01:37	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.5a	pmagpy-4.2.109: demag_gui	jk.5a	
This study	Mgt	5.3	102.2	69.7	2.5	2	11	100.0	jk.6a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:49:18	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.6a	pmagpy-4.2.109: demag_gui	jk.6a	
This study	Hmt	0.6	139.0	60.5	6.1	2	14	100.0	jk.6a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:49:18	u	Ironstone	955.0	873.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.6a	pmagpy-4.2.109: demag_gui	jk.6a	
This study	Mgt	5.3	21.6	45.2	2.5	2	11	0.0	jk.6a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:49:18	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.6a	pmagpy-4.2.109: demag_gui	jk.6a	
This study	Hmt	0.6	30.4	62.0	6.1	2	14	0.0	jk.6a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:49:18	u	Ironstone	955.0	873.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.6a	pmagpy-4.2.109: demag_gui	jk.6a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.6a		jk.6a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.7a		jk.7a	
This study	Mgt	0.0	75.7	56.4	2.7	2	8	0.0	jk.7a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 09:31:56	u	Ironstone	838.0	723.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.7a	pmagpy-4.2.109: demag_gui	jk.7a	
This study	Hmt	0.0	99.3	74.3	5.2	2	7	0.0	jk.7a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 09:31:56	u	Ironstone	951.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.7a	pmagpy-4.2.109: demag_gui	jk.7a	
This study	Mgt	0.0	117.9	42.9	2.7	2	8	100.0	jk.7a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 09:31:56	u	Ironstone	838.0	723.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.7a	pmagpy-4.2.109: demag_gui	jk.7a	
This study	Hmt	0.0	145.7	45.9	5.2	2	7	100.0	jk.7a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 09:31:56	u	Ironstone	951.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.7a	pmagpy-4.2.109: demag_gui	jk.7a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.8a		jk.8a	
This study	Hmt	2.3	304.1	-31.6	7.2	2	6	0.0	jk.8a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:50:45	u	Ironstone	955.0	945.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.8a	pmagpy-4.2.109: demag_gui	jk.8a	
This study	Mgt	4.3	299.2	-12.4	5.2	2	1	0.0	jk.8a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:50:45	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.8a	pmagpy-4.2.109: demag_gui	jk.8a	
This study	Hmt	2.3	311.1	-8.1	7.2	2	6	100.0	jk.8a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:50:45	u	Ironstone	955.0	945.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.8a	pmagpy-4.2.109: demag_gui	jk.8a	
This study	Mgt	4.3	300.0	8.2	5.2	2	1	100.0	jk.8a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:50:45	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.8a	pmagpy-4.2.109: demag_gui	jk.8a	
This study	Mgt	15.4	275.9	-45.9	4.8	2	9	0.0	jk.9a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:14:32	u	Ironstone	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.9a	pmagpy-4.2.109: demag_gui	jk.9a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.9a		jk.9a	
This study	Hmt	10.2	214.9	-26.5	8.1	2	6	100.0	jk.9a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:14:32	u	Ironstone	959.0	949.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.9a	pmagpy-4.2.109: demag_gui	jk.9a	
This study	Hmt	10.2	231.8	-44.3	8.1	2	6	0.0	jk.9a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:14:32	u	Ironstone	959.0	949.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.9a	pmagpy-4.2.109: demag_gui	jk.9a	
This study	Mgt	15.4	244.9	-46.0	4.8	2	9	100.0	jk.9a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:14:32	u	Ironstone	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.9a	pmagpy-4.2.109: demag_gui	jk.9a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.10a		GQ.10a	2e-05
This study	Mgt	1.5	308.5	-25.9	5.0	2	6	100.0	GQ.10a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-07 15:01:51	u	Quartzite	853.0	828.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.10a	pmagpy-4.2.109: demag_gui	GQ.10a	
This study	Hmt	0.0	325.9	-22.1	9.5	2	5	100.0	GQ.10a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-07 15:01:51	u	Quartzite	941.0	888.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.10a	pmagpy-4.2.109: demag_gui	GQ.10a	
This study	Mgt	1.5	321.6	-39.3	5.0	2	6	0.0	GQ.10a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-07 15:01:51	u	Quartzite	853.0	828.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.10a	pmagpy-4.2.109: demag_gui	GQ.10a	
This study	Hmt	0.0	337.1	-29.1	9.5	2	5	0.0	GQ.10a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-07 15:01:51	u	Quartzite	941.0	888.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.10a	pmagpy-4.2.109: demag_gui	GQ.10a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.11a		GQ.11a	1.1e-05
This study	Hmt	0.0	51.9	55.9	6.3	2	17	100.0	GQ.11a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:03:21	u	Quartzite	963.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.11a	pmagpy-4.2.109: demag_gui	GQ.11a	
This study	Mgt	2.8	40.0	59.2	11.9	2	7	100.0	GQ.11a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:03:21	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.11a	pmagpy-4.2.109: demag_gui	GQ.11a	
This study	Hmt	0.0	14.4	73.9	6.3	2	17	0.0	GQ.11a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:03:21	u	Quartzite	963.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.11a	pmagpy-4.2.109: demag_gui	GQ.11a	
This study	Mgt	2.8	351.5	71.5	11.9	2	7	0.0	GQ.11a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:03:21	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.11a	pmagpy-4.2.109: demag_gui	GQ.11a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.12a		GQ.12a	2.2e-05
This study	Hmt	0.0	52.0	64.3	7.5	2	14	100.0	GQ.12a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:37:45	u	Quartzite	961.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.12a	pmagpy-4.2.109: demag_gui	GQ.12a	
This study	Mgt	2.0	154.4	-37.1	5.4	2	9	100.0	GQ.12a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:37:45	u	Quartzite	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.12a	pmagpy-4.2.109: demag_gui	GQ.12a	
This study	Hmt	0.0	344.7	78.9	7.5	2	14	0.0	GQ.12a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:37:45	u	Quartzite	961.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.12a	pmagpy-4.2.109: demag_gui	GQ.12a	
This study	Mgt	2.0	139.8	-28.3	5.4	2	9	0.0	GQ.12a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:37:45	u	Quartzite	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.12a	pmagpy-4.2.109: demag_gui	GQ.12a	
This study	Mgt	4.3	274.5	39.8	10.1	1	1	0.0	GQ.14a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-08 12:42:53	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.14a	pmagpy-4.2.109: demag_gui	GQ.14a	
This study	Mgt	4.3	285.8	62.2	10.1	1	1	100.0	GQ.14a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-08 12:42:53	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.14a	pmagpy-4.2.109: demag_gui	GQ.14a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.14a		GQ.14a	1.6e-05
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.15a		GQ.15a	1.6e-05
This study	Mgt	4.4	114.3	-12.1	3.5	2	9	100.0	GQ.15a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:39:14	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.15a	pmagpy-4.2.109: demag_gui	GQ.15a	
This study	Hmt	0.0	115.3	2.8	5.6	2	16	100.0	GQ.15a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:39:14	u	Quartzite	961.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.15a	pmagpy-4.2.109: demag_gui	GQ.15a	
This study	Mgt	4.4	113.7	7.4	3.5	2	9	0.0	GQ.15a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:39:14	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.15a	pmagpy-4.2.109: demag_gui	GQ.15a	
This study	Hmt	0.0	118.6	21.7	5.6	2	16	0.0	GQ.15a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:39:14	u	Quartzite	961.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.15a	pmagpy-4.2.109: demag_gui	GQ.15a	
This study	Hmt	0.0	4.9	-41.0	7.5	1	17	100.0	GQ.16a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:04:41	u	Quartzite	963.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.16a	pmagpy-4.2.109: demag_gui	GQ.16a	
This study	Hmt	0.0	21.0	-30.7	7.5	1	17	0.0	GQ.16a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:04:41	u	Quartzite	963.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.16a	pmagpy-4.2.109: demag_gui	GQ.16a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.16a		GQ.16a	1.1e-05
This study	Mgt	1.4	114.1	-71.1	3.9	2	5	0.0	GQ.17a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:43:36	u	Quartzite	853.0	833.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.17a	pmagpy-4.2.109: demag_gui	GQ.17a	
This study	Mgt	1.4	205.7	-76.2	3.9	2	5	100.0	GQ.17a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:43:36	u	Quartzite	853.0	833.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.17a	pmagpy-4.2.109: demag_gui	GQ.17a	
This study	Hmt	0.0	242.9	-75.7	3.3	2	11	100.0	GQ.17a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:43:36	u	Quartzite	957.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.17a	pmagpy-4.2.109: demag_gui	GQ.17a	
This study	Hmt	0.0	98.5	-79.2	3.3	2	11	0.0	GQ.17a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:43:36	u	Quartzite	957.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.17a	pmagpy-4.2.109: demag_gui	GQ.17a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.17a		GQ.17a	2.4e-05
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.18a		GQ.18a	9e-06
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.19a		GQ.19a	2.1e-05
This study	Mgt	2.3	283.1	47.5	7.7	2	1	0.0	GQ.19a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-06 17:56:20	u	Quartzite	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.19a	pmagpy-4.2.109: demag_gui	GQ.19a	
This study	Hmt	0.0	271.1	70.8	10.6	2	11	100.0	GQ.19a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-06 17:56:20	u	Quartzite	947.0	873.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.19a	pmagpy-4.2.109: demag_gui	GQ.19a	
This study	Mgt	2.3	305.8	67.4	7.7	2	1	100.0	GQ.19a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-06 17:56:20	u	Quartzite	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.19a	pmagpy-4.2.109: demag_gui	GQ.19a	
This study	Hmt	0.0	264.4	47.1	10.6	2	11	0.0	GQ.19a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-06 17:56:20	u	Quartzite	947.0	873.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.19a	pmagpy-4.2.109: demag_gui	GQ.19a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.1a		GQ.1a	1.3e-05
This study	Hmt	0.0	341.5	28.6	8.5	2	15	100.0	GQ.1a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 13:59:04	u	Quartzite	961.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.1a	pmagpy-4.2.109: demag_gui	GQ.1a	
This study	Mgt	15.8	319.2	41.0	17.4	2	6	100.0	GQ.1a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 13:59:04	u	Quartzite	853.0	823.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.1a	pmagpy-4.2.109: demag_gui	GQ.1a	
This study	Hmt	0.0	329.9	23.3	8.5	2	15	0.0	GQ.1a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 13:59:04	u	Quartzite	961.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.1a	pmagpy-4.2.109: demag_gui	GQ.1a	
This study	Mgt	15.8	305.9	26.8	17.4	2	6	0.0	GQ.1a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 13:59:04	u	Quartzite	853.0	823.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.1a	pmagpy-4.2.109: demag_gui	GQ.1a	
This study	Mgt	4.1	24.9	-83.7	6.5	1	4	100.0	GQ.20a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-08 13:08:14	u	Quartzite	853.0	828.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.20a	pmagpy-4.2.109: demag_gui	GQ.20a	
This study	Mgt	4.1	67.5	-61.8	6.5	1	4	0.0	GQ.20a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-08 13:08:14	u	Quartzite	853.0	828.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.20a	pmagpy-4.2.109: demag_gui	GQ.20a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.20a		GQ.20a	8e-06
This study	Mgt	0.9	227.3	-64.2	5.2	1	8	100.0	GQ.21a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-06 11:05:02	u	Quartzite	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.21a	pmagpy-4.2.109: demag_gui	GQ.21a	
This study	Mgt	0.9	161.7	-77.0	5.2	1	8	0.0	GQ.21a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-06 11:05:02	u	Quartzite	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.21a	pmagpy-4.2.109: demag_gui	GQ.21a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.21a		GQ.21a	9e-06
This study	Hmt	0.0	278.8	45.9	8.5	2	9	100.0	GQ.23a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:46:45	u	Quartzite	959.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.23a	pmagpy-4.2.109: demag_gui	GQ.23a	
This study	Mgt	9.7	270.0	28.3	6.0	2	9	100.0	GQ.23a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:46:45	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.23a	pmagpy-4.2.109: demag_gui	GQ.23a	
This study	Hmt	0.0	273.6	23.1	8.5	2	9	0.0	GQ.23a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:46:45	u	Quartzite	959.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.23a	pmagpy-4.2.109: demag_gui	GQ.23a	
This study	Mgt	9.7	268.6	4.8	6.0	2	9	0.0	GQ.23a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 11:46:45	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.23a	pmagpy-4.2.109: demag_gui	GQ.23a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.23a		GQ.23a	2.2e-05
This study	Mgt	12.0	256.8	57.5	5.6	2	6	0.0	GQ.24a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:06:03	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.24a	pmagpy-4.2.109: demag_gui	GQ.24a	
This study	Hmt	0.0	92.9	73.4	3.6	2	1	100.0	GQ.24a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:06:03	u	Quartzite	961.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.24a	pmagpy-4.2.109: demag_gui	GQ.24a	
This study	Mgt	12.0	253.1	81.4	5.6	2	6	100.0	GQ.24a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:06:03	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.24a	pmagpy-4.2.109: demag_gui	GQ.24a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.24a		GQ.24a	7.000000000000001e-06
This study	Hmt	0.0	230.5	81.1	3.6	2	1	0.0	GQ.24a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:06:03	u	Quartzite	961.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.24a	pmagpy-4.2.109: demag_gui	GQ.24a	
This study										Metamorphic	Conglomerate			Quartzite					g	GQ.25a		GQ.25a	1.8e-05
This study	Hmt	0.0	87.4	42.0	6.5	2	2	0.0	GQ.25a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:07:30	u	Quartzite	963.0	873.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.25a	pmagpy-4.2.109: demag_gui	GQ.25a	
This study	Mgt	4.3	103.2	36.2	7.0	2	1	0.0	GQ.25a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:07:30	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.25a	pmagpy-4.2.109: demag_gui	GQ.25a	
This study	Hmt	0.0	85.4	18.3	6.5	2	2	100.0	GQ.25a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:07:30	u	Quartzite	963.0	873.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	GQ.25a	pmagpy-4.2.109: demag_gui	GQ.25a	
This study	Mgt	4.3	98.8	14.0	7.0	2	1	100.0	GQ.25a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:07:30	u	Quartzite	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GQ.25a	pmagpy-4.2.109: demag_gui	GQ.25a	
This study	Hmt	0.0	279.0	19.5	4.4	2	19	0.0	GQ.26a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:08:58	u	Quartzite	963.0	888.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	GQ.26a	pmagpy-4.2.109: demag_gui	GQ.26a	
This study	Mgt	8.8	215.4	22.2	14.5	2	9	0.0	GQ.26a_LP-DIR-T	Metamorphic	Conglomerate	hargrave 2024-05-09 14:08:58	u	Quartzite	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GQ.26a	pmagpy-4.2.109: demag_gui	GQ.26a	
