tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
GQ.20a	GQ.20a_LP-DIR-T	GQ.20a		Mgt	24.9	-83.7	1	4	100	4.1	6.5	853	828	K		hargrave 2024-05-08 13:08:14	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.20a	GQ.20a_LP-DIR-T	GQ.20a		Mgt	67.5	-61.8	1	4	0	4.1	6.5	853	828	K		hargrave 2024-05-08 13:08:14	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.20a		GQ.20a																	This study			8e-06		Goodrich Quartzite	GQ
GQ.21a	GQ.21a_LP-DIR-T	GQ.21a		Mgt	227.3	-64.2	1	8	100	0.9	5.2	853	723	K		hargrave 2024-05-06 11:05:02	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.21a	GQ.21a_LP-DIR-T	GQ.21a		Mgt	161.7	-77.0	1	8	0	0.9	5.2	853	723	K		hargrave 2024-05-06 11:05:02	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.21a		GQ.21a																	This study			9e-06		Goodrich Quartzite	GQ
GQ.23a	GQ.23a_LP-DIR-T	GQ.23a		Hmt	278.8	45.9	2	9	100	0.0	8.5	959	903	K		hargrave 2024-05-09 11:46:45	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.23a	GQ.23a_LP-DIR-T	GQ.23a		Mgt	270.0	28.3	2	9	100	9.7	6.0	853	773	K		hargrave 2024-05-09 11:46:45	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.23a	GQ.23a_LP-DIR-T	GQ.23a		Hmt	273.6	23.1	2	9	0	0.0	8.5	959	903	K		hargrave 2024-05-09 11:46:45	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.23a	GQ.23a_LP-DIR-T	GQ.23a		Mgt	268.6	4.8	2	9	0	9.7	6.0	853	773	K		hargrave 2024-05-09 11:46:45	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.23a		GQ.23a																	This study			2.2e-05		Goodrich Quartzite	GQ
GQ.24a	GQ.24a_LP-DIR-T	GQ.24a		Mgt	256.8	57.5	2	6	0	12.0	5.6	853	773	K		hargrave 2024-05-09 14:06:03	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.24a	GQ.24a_LP-DIR-T	GQ.24a		Hmt	92.9	73.4	2	10	100	0.0	3.6	961	913	K		hargrave 2024-05-09 14:06:03	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Goodrich Quartzite	GQ
